datetime,open,high,low,close,volume
2020-05-21 20:30:00,27.99,29.23,27.935,28.81,5473920.0
2020-05-22 20:30:00,28.86,28.965,28.205,28.89,3727929.0
2020-05-26 20:30:00,30.28,31.74,30.28,31.01,8361382.0
2020-05-27 20:30:00,32.6,32.96,31.21,31.51,8387549.0
2020-05-28 20:30:00,31.97,32.19,30.82,31.12,5810402.0
2020-05-29 20:30:00,30.46,31.04,29.965,30.06,8765093.0
2020-06-01 20:30:00,30.11,30.97,29.76,30.55,4302645.0
2020-06-02 20:30:00,30.81,31.76,30.5,31.49,6668740.0
2020-06-03 20:30:00,32.53,33.465,32.26,33.25,6238185.0
2020-06-04 20:30:00,32.89,35.22,32.58,35.21,8438653.0
2020-06-05 20:30:00,38.69,38.9695,36.18,36.36,10453059.0
2020-06-08 20:30:00,37.31,39.51,37.31,39.44,10596730.0
2020-06-09 20:30:00,38.0,38.35,36.83,37.74,7047596.0
2020-06-10 20:30:00,37.25,37.3,35.15,35.16,8569309.0
2020-06-11 20:30:00,32.5,33.87,31.3,31.61,9228587.0
2020-06-12 20:30:00,33.5,33.58,31.24,33.04,7490065.0
2020-06-15 20:30:00,31.3,33.57,31.12,33.19,6949160.0
2020-06-16 20:30:00,35.49,35.5,32.74,33.29,7393988.0
2020-06-17 20:30:00,33.06,33.33,32.14,32.28,5963775.0
2020-06-18 20:30:00,31.87,33.0,31.54,32.47,4065249.0
2020-06-19 20:30:00,33.36,33.36,31.6673,31.81,7776402.0
2020-06-22 20:30:00,31.54,32.05,31.07,31.79,3955703.0
2020-06-23 20:30:00,32.48,32.73,31.92,32.05,3322926.0
2020-06-24 20:30:00,31.4,31.64,30.11,30.3,5960524.0
2020-06-25 20:30:00,30.0,31.34,29.81,31.26,5780984.0
2020-06-26 20:30:00,30.72,30.88,29.49,29.71,8006482.0
2020-06-29 20:30:00,30.25,30.89,29.88,30.68,5485145.0
2020-06-30 20:30:00,30.45,31.395,30.29,31.18,4660845.0
2020-07-01 20:30:00,31.01,31.57,29.495,29.58,6984514.0
