datetime,open,high,low,close,volume
2024-05-23 20:30:00,85.27,85.375,83.88,84.07,635018.0
2024-05-24 20:30:00,84.35,85.0,84.19,84.78,590060.0
2024-05-28 20:30:00,84.69,84.815,82.44,82.54,872522.0
2024-05-29 20:30:00,81.76,82.33,80.93,81.11,1391147.0
2024-05-30 20:30:00,81.26,82.44,81.17,82.06,864603.0
2024-05-31 20:30:00,82.21,83.77,82.075,83.64,2391474.0
2024-06-03 20:30:00,83.52,83.745,81.23,82.2,755387.0
2024-06-04 20:30:00,81.94,82.18,81.07,81.25,814169.0
2024-06-05 20:30:00,81.37,82.35,80.66,82.08,520336.0
2024-06-06 20:30:00,81.92,82.41,80.38,80.88,568192.0
2024-06-07 20:30:00,80.51,81.37,80.23,81.08,526251.0
2024-06-10 20:30:00,80.71,81.53,80.59,81.48,450330.0
2024-06-11 20:30:00,81.2,81.635,80.37,81.59,466619.0
2024-06-12 20:30:00,83.63,84.3,83.11,83.59,712021.0
2024-06-13 20:30:00,83.34,83.83,82.32,83.67,688047.0
2024-06-14 20:30:00,82.6,82.885,80.99,82.46,699616.0
2024-06-17 20:30:00,82.16,83.7,82.16,83.68,714824.0
2024-06-18 20:30:00,83.54,84.65,83.2005,84.22,782078.0
2024-06-20 20:30:00,83.89,84.54,83.49,83.92,643949.0
2024-06-21 20:30:00,83.96,84.26,82.75,84.14,1486354.0
2024-06-24 20:30:00,84.33,85.59,83.92,84.43,928639.0
2024-06-25 20:30:00,83.93,84.22,82.02,82.93,922525.0
2024-06-26 20:30:00,82.5,82.56,81.77,82.38,876947.0
2024-06-27 20:30:00,81.69,82.67,81.67,82.02,868469.0
2024-06-28 20:30:00,82.14,83.37,81.2625,81.78,1378405.0
2024-07-01 20:30:00,82.19,82.24,80.17,80.18,623231.0
2024-07-02 20:30:00,80.0,81.1,79.68,80.89,1028846.0
2024-07-03 20:30:00,80.77,81.675,80.53,81.04,539803.0
2024-07-05 20:30:00,80.37,80.6599,79.17,80.48,1190093.0
2024-07-08 20:30:00,80.72,81.35,80.43,81.06,726781.0
2024-07-09 20:30:00,80.84,81.32,80.2,80.73,969114.0
2024-07-10 20:30:00,81.18,83.13,81.08,82.99,1014075.0
2024-07-11 20:30:00,84.19,86.38,83.77,86.08,1004786.0
2024-07-12 20:30:00,86.94,88.64,86.65,87.83,999053.0
2024-07-15 20:30:00,88.22,89.19,87.695,87.8,1154657.0
2024-07-16 20:30:00,88.77,92.135,88.495,91.98,1338297.0
2024-07-17 20:30:00,91.47,92.13,90.14,90.14,850860.0
2024-07-18 20:30:00,89.8,92.445,88.84,89.02,1025949.0
2024-07-19 20:30:00,89.36,89.675,87.57,87.99,1038641.0
2024-07-22 20:30:00,88.15,89.08,86.67,88.81,1138827.0
2024-07-23 20:30:00,80.92,85.07,79.83,80.47,2721296.0
2024-07-24 20:30:00,80.88,82.4992,80.65,80.76,2167104.0
2024-07-25 20:30:00,81.17,83.33,81.11,82.18,1505649.0
2024-07-26 20:30:00,83.55,84.91,83.3,84.5,1149759.0
2024-07-29 20:30:00,84.5,85.29,83.82,84.5,1059036.0
2024-07-30 20:30:00,85.22,85.98,84.99,85.45,881068.0
2024-07-31 20:30:00,85.62,85.85,84.76,85.04,1746435.0
2024-08-01 20:30:00,85.02,85.865,81.36,82.54,874865.0
2024-08-02 20:30:00,81.7,82.46,80.27,82.4,1106038.0
2024-08-05 20:30:00,80.73,82.56,79.67,81.65,1243260.0
2024-08-06 20:30:00,81.8,83.43,81.29,81.66,860020.0
2024-08-07 20:30:00,81.99,83.62,79.96,80.27,1291718.0
2024-08-08 20:30:00,80.8,81.49,79.79,80.49,1075079.0
2024-08-09 20:30:00,80.53,81.27,79.61,80.27,628008.0
2024-08-12 20:30:00,80.21,80.41,78.755,78.87,698781.0
2024-08-13 20:30:00,79.51,79.79,78.63,79.57,679883.0
2024-08-14 20:30:00,79.95,80.35,79.168,79.76,652151.0
2024-08-15 20:30:00,80.86,81.25,79.86,80.25,735077.0
2024-08-16 20:30:00,80.16,80.515,79.43,79.65,834207.0
2024-08-19 20:30:00,79.91,80.705,79.59,80.7,584891.0
2024-08-20 20:30:00,80.63,81.11,80.38,80.8,605337.0
2024-08-21 20:30:00,81.19,81.94,81.02,81.88,573128.0
2024-08-22 20:30:00,81.82,82.1,80.88,81.13,627664.0
2024-08-23 20:30:00,81.82,83.09,81.18,82.54,562529.0
2024-08-26 20:30:00,82.96,83.22,82.12,82.36,562113.0
2024-08-27 20:30:00,81.85,82.3937,80.985,81.76,702370.0
2024-08-28 20:30:00,81.72,82.645,81.59,81.84,577041.0
2024-08-29 20:30:00,82.4,82.94,81.13,82.1,603667.0
2024-08-30 20:30:00,82.48,83.86,82.43,83.72,1007080.0
2024-09-03 20:30:00,83.53,83.665,80.65,81.26,740814.0
2024-09-04 20:30:00,81.09,81.26,79.76,80.35,625124.0
2024-09-05 20:30:00,79.87,79.95,76.94,77.86,1561841.0
2024-09-06 20:30:00,78.04,78.63,76.78,76.91,864869.0
2024-09-09 20:30:00,77.33,77.99,76.795,77.89,830877.0
2024-09-10 20:30:00,78.14,78.8108,77.71,78.68,556700.0
2024-09-11 20:30:00,78.48,78.57,76.63,78.46,593141.0
2024-09-12 20:30:00,78.4,79.42,77.875,79.4,982230.0
2024-09-13 20:30:00,79.75,80.59,79.42,79.97,986156.0
2024-09-16 20:30:00,80.82,81.93,80.4523,81.7,820998.0
2024-09-17 20:30:00,82.09,83.245,81.925,82.47,583569.0
2024-09-18 20:30:00,82.9,84.29,82.295,82.89,904176.0
2024-09-19 20:30:00,84.5,84.5,83.361,84.29,679470.0
2024-09-20 20:30:00,84.02,84.19,82.62,82.89,2338885.0
2024-09-23 20:30:00,83.3,84.2,83.08,83.98,668399.0
2024-09-24 20:30:00,84.04,85.77,83.84,85.74,940674.0
2024-09-25 20:30:00,85.97,86.12,85.16,85.84,805800.0
2024-09-26 20:30:00,86.93,89.905,86.75,89.31,1799416.0
2024-09-27 20:30:00,89.97,92.06,89.82,90.59,1631341.0
2024-09-30 20:30:00,90.6,90.84,89.48,89.83,1065824.0
