datetime,open,high,low,close,volume
2020-05-21 20:30:00,35.35,35.71,35.0,35.53,1246290.0
2020-05-22 20:30:00,35.4,35.6,34.57,35.38,1406080.0
2020-05-26 20:30:00,37.18,38.1,36.93,37.72,2626634.0
2020-05-27 20:30:00,38.38,39.86,38.31,39.36,3097348.0
2020-05-28 20:30:00,39.7,39.89,38.65,38.87,1436010.0
2020-05-29 20:30:00,38.46,39.325,37.91,39.02,3154187.0
2020-06-01 20:30:00,38.89,39.8244,38.67,39.22,1622395.0
2020-06-02 20:30:00,39.97,39.99,38.93,39.87,1743221.0
2020-06-03 20:30:00,40.44,41.67,40.38,41.39,1493271.0
2020-06-04 20:30:00,41.19,41.86,40.61,41.3,967423.0
2020-06-05 20:30:00,42.8,44.86,42.33,42.47,1519397.0
2020-06-08 20:30:00,43.4,44.37,43.31,43.81,1744037.0
2020-06-09 20:30:00,43.0,43.29,42.1,42.91,1055879.0
2020-06-10 20:30:00,42.84,43.09,40.385,40.42,1543638.0
2020-06-11 20:30:00,39.89,39.97,38.71,38.88,2285397.0
2020-06-12 20:30:00,40.01,40.24,38.64,39.39,1743275.0
2020-06-15 20:30:00,38.04,40.1,37.82,39.82,1308565.0
2020-06-16 20:30:00,41.0,41.47,39.97,41.08,1216237.0
2020-06-17 20:30:00,41.07,41.11,40.08,40.41,1124303.0
2020-06-18 20:30:00,39.97,41.36,39.71,41.21,1489856.0
2020-06-19 20:30:00,42.0,42.0,40.63,40.63,2544497.0
2020-06-22 20:30:00,40.66,40.91,40.03,40.39,1071660.0
2020-06-23 20:30:00,40.69,41.565,40.4183,41.08,1580027.0
2020-06-24 20:30:00,40.53,42.17,39.7,41.19,2608113.0
2020-06-25 20:30:00,41.29,42.6,41.21,42.52,2062508.0
2020-06-26 20:30:00,42.38,42.38,40.2,40.22,2111856.0
2020-06-29 20:30:00,40.56,41.36,40.435,40.81,907968.0
2020-06-30 20:30:00,40.85,41.37,40.3,41.13,1095599.0
2020-07-01 20:30:00,41.1,41.26,40.04,40.13,1560943.0
2020-07-02 20:30:00,41.1,41.53,39.73,39.78,1554977.0
2020-07-06 20:30:00,40.35,40.735,39.94,40.49,1298055.0
2020-07-07 20:30:00,40.04,40.04,39.37,39.64,1011633.0
2020-07-08 20:30:00,39.64,40.07,38.84,39.19,893010.0
2020-07-09 20:30:00,38.93,39.0,38.0,38.23,904642.0
2020-07-10 20:30:00,38.23,40.03,38.23,39.89,975825.0
2020-07-13 20:30:00,40.57,41.14,39.74,40.5,1169529.0
2020-07-14 20:30:00,40.31,41.96,40.14,41.9,1169854.0
2020-07-15 20:30:00,42.47,43.48,42.02,43.23,1876810.0
2020-07-16 20:30:00,43.05,43.89,42.62,42.84,1009254.0
2020-07-17 20:30:00,43.09,43.46,42.755,43.06,874161.0
2020-07-20 20:30:00,42.73,43.0499,41.57,41.91,927326.0
2020-07-21 20:30:00,42.06,43.29,42.06,42.89,1116798.0
2020-07-22 20:30:00,42.79,43.61,42.63,43.37,803269.0
2020-07-23 20:30:00,43.34,45.14,43.34,44.78,1142910.0
2020-07-24 20:30:00,44.7,44.98,44.0,44.33,895876.0
2020-07-27 20:30:00,43.9,45.02,43.645,45.0,1038224.0
2020-07-28 20:30:00,44.95,45.56,44.11,44.6,1001509.0
2020-07-29 20:30:00,45.76,46.69,43.86,45.18,2377579.0
2020-07-30 20:30:00,44.62,45.6444,44.565,45.01,1256445.0
2020-07-31 20:30:00,44.63,44.94,42.85,43.44,1418366.0
2020-08-03 20:30:00,43.65,44.66,43.38,44.03,1236336.0
2020-08-04 20:30:00,44.03,44.34,43.11,44.31,1035334.0
2020-08-05 20:30:00,44.67,44.99,44.3,44.84,1012819.0
2020-08-06 20:30:00,44.6,45.15,44.6,44.7,788502.0
2020-08-07 20:30:00,44.42,45.59,44.38,45.46,808739.0
2020-08-10 20:30:00,45.48,47.04,45.44,46.8,1038800.0
2020-08-11 20:30:00,47.47,47.775,46.68,46.72,828014.0
2020-08-12 20:30:00,47.25,47.39,46.69,46.81,744729.0
2020-08-13 20:30:00,47.0,47.0,46.31,46.47,900514.0
2020-08-14 20:30:00,45.75,46.385,45.53,45.93,838717.0
2020-08-17 20:30:00,46.02,46.94,46.01,46.39,750611.0
2020-08-18 20:30:00,46.34,46.4,45.86,46.17,635669.0
2020-08-19 20:30:00,46.17,47.07,46.13,46.69,836359.0
2020-08-20 20:30:00,46.25,46.76,45.7,45.99,888420.0
2020-08-21 20:30:00,46.1,47.01,46.03,46.77,1010430.0
2020-08-24 20:30:00,47.09,47.56,46.515,46.83,692789.0
2020-08-25 20:30:00,47.19,47.3584,46.14,46.94,906462.0
2020-08-26 20:30:00,46.92,47.05,46.3,46.65,578370.0
2020-08-27 20:30:00,46.66,46.9,45.92,46.24,542484.0
2020-08-28 20:30:00,46.3,46.715,45.82,46.67,717140.0
2020-08-31 20:30:00,46.45,46.6432,45.58,45.62,961462.0
2020-09-01 20:30:00,45.52,46.08,45.01,45.47,580761.0
2020-09-02 20:30:00,45.62,46.525,45.37,46.41,809580.0
2020-09-03 20:30:00,46.59,47.22,45.59,45.76,770710.0
2020-09-04 20:30:00,46.23,46.67,45.24,46.48,654510.0
2020-09-08 20:30:00,46.27,46.3,45.1,45.22,895759.0
2020-09-09 20:30:00,45.45,46.26,45.33,45.85,598895.0
2020-09-10 20:30:00,45.89,46.39,45.37,45.39,538110.0
2020-09-11 20:30:00,45.37,45.81,45.01,45.64,688110.0
2020-09-14 20:30:00,46.04,46.32,45.4,46.25,915270.0
2020-09-15 20:30:00,46.36,46.87,45.61,46.37,1319714.0
2020-09-16 20:30:00,46.43,46.86,46.19,46.51,871407.0
2020-09-17 20:30:00,46.06,47.42,45.485,47.33,1230486.0
2020-09-18 20:30:00,47.51,49.475,47.33,47.61,4055595.0
2020-09-21 20:30:00,46.48,46.48,45.29,45.73,1234929.0
2020-09-22 20:30:00,45.92,46.35,45.62,45.98,978846.0
2020-09-23 20:30:00,46.35,46.85,44.58,44.66,1087104.0
2020-09-24 20:30:00,44.52,45.22,43.41,44.65,1196374.0
2020-09-25 20:30:00,44.44,46.2,44.41,46.09,1568702.0
2020-09-28 20:30:00,46.97,47.5637,46.49,46.5,912802.0
2020-09-29 20:30:00,46.28,46.35,44.965,45.18,628291.0
2020-09-30 20:30:00,45.22,46.1,45.22,45.7,889022.0
2020-10-01 20:30:00,45.84,46.08,45.27,45.82,550618.0
2020-10-02 20:30:00,45.04,46.48,44.82,46.39,553553.0
2020-10-05 20:30:00,46.78,47.52,46.56,47.24,755314.0
2020-10-06 20:30:00,47.89,48.905,47.51,47.6,1065578.0
2020-10-07 20:30:00,48.08,49.215,48.0,49.06,1441068.0
2020-10-08 20:30:00,49.42,49.43,48.66,49.02,1524007.0
2020-10-09 20:30:00,49.5,51.21,49.385,50.47,1589241.0
2020-10-12 20:30:00,50.75,51.72,50.34,51.39,916964.0
2020-10-13 20:30:00,50.93,51.27,50.15,50.94,1025163.0
2020-10-14 20:30:00,50.85,52.22,50.65,52.15,1158970.0
2020-10-15 20:30:00,51.43,54.99,51.25,54.21,2652131.0
2020-10-16 20:30:00,54.24,54.9,53.8701,54.59,1532371.0
2020-10-19 20:30:00,55.41,56.09,54.18,54.6,1650141.0
2020-10-20 20:30:00,55.17,55.47,54.1,55.03,1278659.0
2020-10-21 20:30:00,55.06,56.14,55.0,55.1,1097470.0
2020-10-22 20:30:00,55.38,57.45,55.25,56.45,1683410.0
2020-10-23 20:30:00,56.92,57.87,55.83,56.02,1412105.0
2020-10-26 20:30:00,55.6,56.06,54.91,55.69,1139358.0
2020-10-27 20:30:00,55.65,56.12,54.68,55.69,1517555.0
2020-10-28 20:30:00,58.0,60.5,57.05,58.06,4133379.0
2020-10-29 20:30:00,58.31,58.73,57.18,58.29,2218636.0
2020-10-30 20:30:00,57.58,57.91,55.9103,56.73,2022808.0
2020-11-02 21:30:00,57.43,58.5,56.88,58.07,1581700.0
2020-11-03 21:30:00,58.36,58.66,56.12,56.48,1456517.0
2020-11-04 21:30:00,56.26,56.7,54.0,55.96,1603978.0
2020-11-05 21:30:00,56.04,58.81,56.04,58.5,1297786.0
2020-11-06 21:30:00,58.83,58.88,57.23,57.51,1253674.0
2020-11-09 21:30:00,59.0,59.5,56.8,56.85,1893379.0
2020-11-10 21:30:00,57.21,58.94,56.5,58.81,1331371.0
2020-11-11 21:30:00,59.0,59.68,57.43,58.9,1078353.0
2020-11-12 21:30:00,58.93,58.93,57.4,57.99,920522.0
2020-11-13 21:30:00,58.27,59.53,58.1798,59.17,839008.0
2020-11-16 21:30:00,59.92,61.08,58.65,60.69,1399941.0
2020-11-17 21:30:00,59.33,59.93,58.59,59.38,1168467.0
2020-11-18 21:30:00,59.5,60.64,58.28,58.38,1199318.0
2020-11-19 21:30:00,58.14,58.66,57.36,58.53,1099638.0
2020-11-20 21:30:00,58.49,58.97,58.1,58.74,713231.0
2020-11-23 21:30:00,59.29,60.45,58.84,59.93,1228321.0
2020-11-24 21:30:00,60.67,62.73,60.05,62.65,2144494.0
2020-11-25 21:30:00,62.2,62.49,60.68,61.83,1407631.0
2020-11-27 21:30:00,61.6,62.12,60.52,60.84,405552.0
2020-11-30 21:30:00,60.48,60.99,58.81,58.89,1875217.0
2020-12-01 21:30:00,59.97,60.63,58.81,59.47,1309150.0
2020-12-02 21:30:00,59.17,59.6,58.76,59.31,670870.0
2020-12-03 21:30:00,60.0,61.225,59.71,60.78,923758.0
2020-12-04 21:30:00,61.04,61.78,61.0,61.47,1079097.0
2020-12-07 21:30:00,61.54,61.66,60.31,60.78,907743.0
2020-12-08 21:30:00,60.76,62.03,60.27,61.35,1205316.0
2020-12-09 21:30:00,62.02,63.61,61.23,63.5,2088740.0
2020-12-10 21:30:00,63.77,64.64,62.84,64.5,2047536.0
2020-12-11 21:30:00,64.21,66.71,64.21,66.04,1884326.0
2020-12-14 21:30:00,66.53,66.635,63.71,63.78,997777.0
2020-12-15 21:30:00,64.0,65.84,63.8,65.16,1099411.0
2020-12-16 21:30:00,65.0,65.16,63.97,64.63,557042.0
2020-12-17 21:30:00,64.62,64.98,63.57,64.0,953503.0
2020-12-18 21:30:00,64.07,64.51,63.21,64.38,2150571.0
2020-12-21 21:30:00,63.71,65.0,63.3,64.82,979658.0
2020-12-22 21:30:00,64.8,64.99,63.56,64.09,1124720.0
2020-12-23 21:30:00,64.55,64.92,63.61,64.72,505767.0
2020-12-24 21:30:00,64.38,64.5999,63.78,64.33,239724.0
2020-12-28 21:30:00,64.65,64.99,63.85,64.11,494605.0
2020-12-29 21:30:00,64.02,64.29,62.84,63.44,722398.0
2020-12-30 21:30:00,63.82,65.38,63.35,65.19,663550.0
2020-12-31 21:30:00,65.14,65.86,64.78,65.58,846803.0
2021-01-04 21:30:00,65.92,67.394,64.385,65.71,1255411.0
2021-01-05 21:30:00,65.64,68.11,65.64,67.4,1382810.0
2021-01-06 21:30:00,68.4,72.225,68.255,70.17,2892444.0
2021-01-07 21:30:00,70.78,71.47,69.3,69.44,1284028.0
2021-01-08 21:30:00,69.7,70.31,68.87,70.2,1019568.0
2021-01-11 21:30:00,69.1,70.91,69.1,69.72,1156041.0
2021-01-12 21:30:00,70.0,70.28,69.32,69.69,753434.0
2021-01-13 21:30:00,69.97,72.2499,69.47,70.43,1979258.0
2021-01-14 21:30:00,70.45,73.49,70.43,72.25,1609122.0
2021-01-15 21:30:00,71.8,71.99,69.75,70.66,1149257.0
2021-01-19 21:30:00,71.0,72.35,70.3327,70.65,1521518.0
2021-01-20 21:30:00,70.87,71.8,70.38,70.91,963534.0
2021-01-21 21:30:00,70.93,71.2199,68.55,68.68,1122704.0
2021-01-22 21:30:00,68.2,68.91,67.52,68.6,1138000.0
2021-01-25 21:30:00,68.6,68.66,66.33,67.72,1588090.0
2021-01-26 21:30:00,68.35,68.6,66.39,66.65,1227417.0
2021-01-27 21:30:00,65.51,65.9,62.07,63.91,2061003.0
2021-01-28 21:30:00,64.45,67.07,64.01,66.65,1590169.0
2021-01-29 21:30:00,66.29,66.65,64.51,65.44,955378.0
2021-02-01 21:30:00,65.91,67.51,65.05,67.27,1176928.0
2021-02-02 21:30:00,68.16,69.78,67.63,69.5,1361341.0
2021-02-03 21:30:00,69.55,71.05,69.08,70.5,1637286.0
2021-02-04 21:30:00,70.53,71.64,70.3675,71.58,1028173.0
2021-02-05 21:30:00,72.0,73.76,71.675,73.09,2892035.0
2021-02-08 21:30:00,73.31,75.05,73.11,74.11,1577601.0
2021-02-09 21:30:00,74.0,75.62,73.51,75.43,2502535.0
2021-02-10 21:30:00,75.03,77.43,73.82,74.69,4037563.0
2021-02-11 21:30:00,74.8,76.345,74.3,76.21,1804233.0
2021-02-12 21:30:00,76.06,78.05,75.05,78.0,2406178.0
2021-02-16 21:30:00,78.0,79.45,77.17,79.31,1910199.0
2021-02-17 21:30:00,78.71,78.92,76.83,78.0,2181737.0
2021-02-18 21:30:00,77.11,77.34,73.9868,74.74,2139071.0
2021-02-19 21:30:00,75.01,77.39,75.01,76.38,1420935.0
2021-02-22 21:30:00,76.33,78.5,75.72,78.19,2058441.0
2021-02-23 21:30:00,78.0,78.79,75.93,77.41,1793523.0
2021-02-24 21:30:00,77.6,78.37,76.4,76.76,1396139.0
2021-02-25 21:30:00,76.76,77.82,74.5,74.72,1310374.0
2021-02-26 21:30:00,74.99,77.08,74.02,76.58,2193978.0
2021-03-01 21:30:00,77.62,79.01,76.9,78.68,1935323.0
2021-03-02 21:30:00,78.92,79.87,78.45,79.26,1252427.0
2021-03-03 21:30:00,79.36,81.0,78.23,78.45,1755433.0
2021-03-04 21:30:00,78.02,78.8,73.45,76.06,2219164.0
2021-03-05 21:30:00,77.34,78.55,74.97,77.72,1545540.0
2021-03-08 21:30:00,77.59,80.0,77.23,78.46,1519588.0
2021-03-09 21:30:00,79.05,80.08,78.12,79.06,1070854.0
2021-03-10 21:30:00,79.38,80.89,78.87,80.52,1484796.0
2021-03-11 21:30:00,80.74,81.92,78.84,81.46,1365759.0
2021-03-12 21:30:00,81.11,82.33,80.34,80.78,1498124.0
2021-03-15 20:30:00,80.55,80.8,78.41,79.24,863709.0
2021-03-16 20:30:00,79.18,79.99,78.29,78.98,851304.0
2021-03-17 20:30:00,78.95,79.36,77.63,79.06,897089.0
2021-03-18 20:30:00,79.53,80.53,78.13,78.53,854415.0
2021-03-19 20:30:00,78.8,78.91,77.16,78.18,1602536.0
2021-03-22 20:30:00,78.33,78.61,76.82,77.66,724785.0
2021-03-23 20:30:00,77.0,77.58,75.06,75.58,974299.0
2021-03-24 20:30:00,76.35,77.24,75.41,75.53,882773.0
2021-03-25 20:30:00,75.0,77.48,74.42,77.1,1572001.0
2021-03-26 20:30:00,77.97,79.3,77.6484,79.28,944395.0
2021-03-29 20:30:00,78.35,79.56,77.58,77.68,1124267.0
2021-03-30 20:30:00,77.83,80.22,77.76,79.81,1259724.0
2021-03-31 20:30:00,80.25,80.68,79.27,79.27,1122337.0
2021-04-01 20:30:00,79.69,80.77,79.51,80.2,1146677.0
2021-04-05 20:30:00,80.41,80.6,78.94,78.94,722446.0
2021-04-06 20:30:00,79.11,80.12,78.35,79.31,795557.0
2021-04-07 20:30:00,79.44,79.86,78.3,78.58,503508.0
2021-04-08 20:30:00,78.53,78.72,77.2,78.39,984752.0
2021-04-09 20:30:00,78.9,79.45,78.06,79.45,605238.0
2021-04-12 20:30:00,79.59,79.85,78.67,79.26,612277.0
