datetime,open,high,low,close,volume
2020-05-21 20:30:00,53.97,54.27,52.905,53.61,3417387.0
2020-05-22 20:30:00,53.6,54.01,53.14,53.95,3064261.0
2020-05-26 20:30:00,55.5,56.745,55.245,56.21,4745302.0
2020-05-27 20:30:00,57.66,58.2396,55.76,56.46,4929281.0
2020-05-28 20:30:00,56.99,57.8162,56.21,56.66,3969219.0
2020-05-29 20:30:00,56.43,57.44,55.75,56.8,3728132.0
2020-06-01 20:30:00,56.65,57.5,56.11,57.21,2416490.0
2020-06-02 20:30:00,57.57,58.34,57.07,57.84,2767533.0
2020-06-03 20:30:00,58.5,59.38,58.16,59.2,4025397.0
2020-06-04 20:30:00,58.71,59.13,57.73,58.49,3748208.0
2020-06-05 20:30:00,59.9,60.2,58.535,58.95,3989068.0
2020-06-08 20:30:00,59.29,59.5,58.51,59.45,3683233.0
2020-06-09 20:30:00,58.12,59.01,57.56,58.35,3013873.0
2020-06-10 20:30:00,58.6,59.25,57.805,58.32,2683320.0
2020-06-11 20:30:00,56.0,56.45,54.8,55.0,4566084.0
2020-06-12 20:30:00,56.66,57.07,54.66,55.73,2797333.0
2020-06-15 20:30:00,54.12,57.06,53.6,56.65,2856482.0
2020-06-16 20:30:00,58.45,58.75,56.61,57.5,3014336.0
2020-06-17 20:30:00,58.0,58.2,56.97,57.09,2275426.0
2020-06-18 20:30:00,56.69,58.2,56.2216,57.65,2784230.0
2020-06-19 20:30:00,58.5,59.0,56.64,59.0,5635549.0
2020-06-22 20:30:00,57.85,58.065,56.17,56.81,4276116.0
2020-06-23 20:30:00,57.65,58.04,56.855,57.07,3045090.0
2020-06-24 20:30:00,56.52,56.521,54.4,55.19,3917401.0
2020-06-25 20:30:00,54.95,57.31,54.81,57.23,3541763.0
2020-06-26 20:30:00,56.67,57.16,54.295,54.35,3510014.0
2020-06-29 20:30:00,54.58,55.94,54.02,55.81,2659251.0
2020-06-30 20:30:00,55.87,56.8,55.7,56.66,2501566.0
2020-07-01 20:30:00,56.78,57.56,55.73,56.14,1781607.0
2020-07-02 20:30:00,57.03,57.23,55.245,55.39,2647753.0
2020-07-06 20:30:00,56.23,56.56,55.0,55.36,3271587.0
2020-07-07 20:30:00,55.0,55.1256,53.455,53.6,3720507.0
2020-07-08 20:30:00,53.86,54.66,53.5,54.47,2714932.0
2020-07-09 20:30:00,54.22,54.48,52.31,53.37,3417082.0
2020-07-10 20:30:00,53.59,53.8,52.95,53.73,1998074.0
2020-07-13 20:30:00,54.03,54.55,53.2376,53.52,3278749.0
2020-07-14 20:30:00,53.35,54.67,53.08,54.53,2914238.0
2020-07-15 20:30:00,55.69,56.215,54.8693,56.01,2422556.0
2020-07-16 20:30:00,55.54,55.64,55.0533,55.4,2131648.0
2020-07-17 20:30:00,55.74,56.19,55.075,55.97,1784218.0
2020-07-20 20:30:00,55.84,56.36,55.6348,56.14,2449129.0
2020-07-21 20:30:00,56.28,57.95,56.28,57.62,3098690.0
2020-07-22 20:30:00,57.21,58.0,56.94,58.0,2593398.0
2020-07-23 20:30:00,58.04,58.9,56.02,56.67,4274897.0
2020-07-24 20:30:00,56.34,56.44,55.02,55.7,4064047.0
2020-07-27 20:30:00,55.43,55.69,54.82,55.25,2393078.0
2020-07-28 20:30:00,54.95,55.15,54.095,54.15,2032731.0
