datetime,open,high,low,close,volume
2020-05-21 20:30:00,52.44,52.79,51.71,51.74,2290617.0
2020-05-22 20:30:00,52.02,52.04,50.925,51.45,2718043.0
2020-05-26 20:30:00,53.07,53.9,52.83,53.26,3632820.0
2020-05-27 20:30:00,54.31,55.41,53.975,55.35,3709677.0
2020-05-28 20:30:00,55.61,55.89,53.59,53.7,3031148.0
2020-05-29 20:30:00,53.59,53.6,52.23,53.0,6450267.0
2020-06-01 20:30:00,53.0,53.33,52.48,52.85,3203732.0
2020-06-02 20:30:00,53.57,53.57,52.89,53.3,3079352.0
2020-06-03 20:30:00,53.72,55.44,53.52,55.35,4428896.0
2020-06-04 20:30:00,55.06,55.74,54.53,55.6,2349314.0
2020-06-05 20:30:00,56.96,59.22,56.55,57.82,4945980.0
2020-06-08 20:30:00,58.09,58.92,58.09,58.58,2706219.0
2020-06-09 20:30:00,58.0,58.0,56.64,57.19,2364906.0
2020-06-10 20:30:00,57.86,58.39,56.68,57.53,2811039.0
2020-06-11 20:30:00,56.08,56.23,53.62,53.66,3404444.0
2020-06-12 20:30:00,54.35,55.47,53.48,54.8,2474651.0
2020-06-15 20:30:00,52.59,55.1,52.5,54.67,2724204.0
2020-06-16 20:30:00,56.2,57.05,54.83,55.37,2685608.0
2020-06-17 20:30:00,55.88,56.05,54.71,55.49,2234968.0
2020-06-18 20:30:00,54.66,55.2,53.9,54.89,2570650.0
2020-06-19 20:30:00,56.0,56.01,53.91,54.16,5365021.0
2020-06-22 20:30:00,53.92,54.53,53.16,53.85,2388699.0
2020-06-23 20:30:00,54.51,55.44,54.02,55.2,3103277.0
2020-06-24 20:30:00,54.76,54.89,53.77,53.8,4597212.0
2020-06-25 20:30:00,54.03,55.67,53.99,55.59,3854683.0
2020-06-26 20:30:00,55.37,55.59,54.59,55.21,3743941.0
2020-06-29 20:30:00,55.77,56.52,54.99,56.49,2907251.0
2020-06-30 20:30:00,56.59,57.55,56.27,56.82,3845031.0
2020-07-01 20:30:00,57.0,57.4293,55.95,56.42,2966548.0
2020-07-02 20:30:00,57.01,57.68,56.01,56.08,3123236.0
2020-07-06 20:30:00,57.0,57.09,56.085,56.26,2203022.0
2020-07-07 20:30:00,55.52,56.4,55.36,55.85,2604593.0
2020-07-08 20:30:00,56.09,56.36,55.22,55.7,1783422.0
2020-07-09 20:30:00,55.67,55.7,54.57,55.28,3043120.0
2020-07-10 20:30:00,55.05,55.88,54.915,55.78,2037889.0
2020-07-13 20:30:00,56.44,57.72,56.16,56.46,3415263.0
2020-07-14 20:30:00,56.02,56.55,55.175,56.47,2395252.0
2020-07-15 20:30:00,58.0,60.4,58.0,59.67,4574878.0
2020-07-16 20:30:00,60.9,61.7,60.5,61.05,5221047.0
2020-07-17 20:30:00,61.37,61.77,60.795,61.43,3011453.0
2020-07-20 20:30:00,61.36,62.01,61.05,61.71,2134999.0
2020-07-21 20:30:00,62.25,62.91,61.4,61.62,2495293.0
2020-07-22 20:30:00,61.63,62.4099,61.28,61.96,3036926.0
2020-07-23 20:30:00,62.1617,62.56,61.79,62.08,2515242.0
2020-07-24 20:30:00,62.18,62.33,61.455,61.8,2677980.0
2020-07-27 20:30:00,61.69,63.665,61.29,63.43,2997383.0
2020-07-28 20:30:00,63.42,63.84,62.58,62.64,3155019.0
2020-07-29 20:30:00,63.07,65.2,62.68,64.79,4818264.0
2020-07-30 20:30:00,68.92,69.49,67.0,69.18,6495271.0
2020-07-31 20:30:00,68.79,69.0,66.99,68.32,3646901.0
2020-08-03 20:30:00,66.85,68.12,66.67,68.04,3398170.0
2020-08-04 20:30:00,67.17,67.99,66.87,67.92,2963068.0
2020-08-05 20:30:00,68.14,68.675,67.16,67.43,2697270.0
2020-08-06 20:30:00,67.49,67.73,66.665,67.58,2307649.0
2020-08-07 20:30:00,67.2,67.645,66.695,67.48,2054490.0
2020-08-10 20:30:00,67.36,67.48,66.6131,67.11,2338784.0
2020-08-11 20:30:00,67.29,67.575,66.27,66.53,2302548.0
2020-08-12 20:30:00,66.96,67.62,66.89,66.98,2699002.0
2020-08-13 20:30:00,66.32,67.295,66.15,66.9,1531481.0
2020-08-14 20:30:00,66.49,67.275,66.0,66.93,1289343.0
2020-08-17 20:30:00,67.25,67.84,66.95,67.54,1769228.0
2020-08-18 20:30:00,67.6,67.88,67.0,67.22,1535440.0
2020-08-19 20:30:00,67.3,67.67,66.76,66.89,1935478.0
2020-08-20 20:30:00,66.12,66.71,66.02,66.3,1315338.0
2020-08-21 20:30:00,66.17,66.21,65.12,65.72,3580139.0
2020-08-24 20:30:00,65.71,67.63,65.54,67.62,2429918.0
2020-08-25 20:30:00,67.62,67.65,66.47,66.94,1864206.0
2020-08-26 20:30:00,67.08,67.85,66.58,67.75,2071041.0
2020-08-27 20:30:00,68.0,68.3,67.1568,67.41,1589980.0
2020-08-28 20:30:00,67.38,67.735,67.01,67.69,1536856.0
2020-08-31 20:30:00,67.39,67.54,66.72,66.86,2653687.0
2020-09-01 20:30:00,66.26,67.03,65.875,66.97,1705206.0
2020-09-02 20:30:00,67.45,68.99,67.09,68.82,2711194.0
2020-09-03 20:30:00,68.67,68.89,66.33,67.12,3366681.0
2020-09-04 20:30:00,67.4,68.12,65.84,66.81,2544865.0
2020-09-08 20:30:00,65.45,66.67,65.04,65.6,3102694.0
2020-09-09 20:30:00,66.04,66.94,65.29,66.41,2275403.0
2020-09-10 20:30:00,66.31,67.67,65.36,65.56,2679201.0
2020-09-11 20:30:00,67.77,69.17,67.06,68.18,4935531.0
2020-09-14 20:30:00,68.36,69.58,68.35,69.29,3411916.0
2020-09-15 20:30:00,69.2363,70.99,69.2363,70.13,3436586.0
2020-09-16 20:30:00,70.9,71.81,70.05,70.72,3161210.0
2020-09-17 20:30:00,68.11,70.865,67.9076,70.12,3819546.0
2020-09-18 20:30:00,70.08,70.4,67.97,68.86,5525498.0
2020-09-21 20:30:00,67.86,68.17,67.072,67.39,3190042.0
2020-09-22 20:30:00,67.63,68.5,66.71,68.25,2838703.0
2020-09-23 20:30:00,68.46,69.19,66.81,67.09,3086110.0
2020-09-24 20:30:00,65.95,67.6,65.58,66.9,2855009.0
2020-09-25 20:30:00,66.87,68.32,66.5,68.08,2758064.0
2020-09-28 20:30:00,68.97,69.65,68.73,69.32,3971430.0
2020-09-29 20:30:00,69.44,70.08,68.63,69.0,2585597.0
2020-09-30 20:30:00,69.28,70.105,68.86,69.42,3912154.0
2020-10-01 20:30:00,70.22,70.595,68.975,69.33,3426441.0
2020-10-02 20:30:00,67.92,69.35,67.79,68.86,2460550.0
2020-10-05 20:30:00,69.62,71.26,69.5,70.93,4117464.0
2020-10-06 20:30:00,70.9,71.6,69.69,69.83,3111058.0
2020-10-07 20:30:00,70.73,72.48,70.6,72.24,3180263.0
2020-10-08 20:30:00,72.5,73.45,72.23,72.91,2312751.0
2020-10-09 20:30:00,73.65,74.06,72.75,73.08,3584320.0
2020-10-12 20:30:00,74.09,74.92,73.27,74.63,4748863.0
2020-10-13 20:30:00,74.99,75.32,73.04,73.22,3322191.0
2020-10-14 20:30:00,73.22,74.4,73.1,73.96,3273388.0
2020-10-15 20:30:00,73.25,73.89,72.76,73.72,2637225.0
2020-10-16 20:30:00,74.34,74.63,73.31,73.36,2533193.0
2020-10-19 20:30:00,73.19,73.75,71.96,72.2,2791442.0
2020-10-20 20:30:00,73.05,74.01,72.295,73.35,2252389.0
2020-10-21 20:30:00,73.03,74.04,72.88,72.89,2916296.0
2020-10-22 20:30:00,72.73,73.58,72.23,73.38,2705353.0
2020-10-23 20:30:00,73.46,74.32,73.09,74.12,2135638.0
2020-10-26 20:30:00,73.2,73.45,71.87,72.71,6195658.0
2020-10-27 20:30:00,72.83,73.495,72.52,73.39,5498403.0
2020-10-28 20:30:00,72.36,72.93,70.98,71.1,8444543.0
2020-10-29 20:30:00,74.83,76.45,70.81,71.02,7110849.0
2020-10-30 20:30:00,70.4708,71.78,69.97,71.42,4298214.0
2020-11-02 21:30:00,71.47,71.91,70.29,70.8,3276126.0
2020-11-03 21:30:00,71.92,72.94,71.41,71.94,2089612.0
2020-11-04 21:30:00,73.77,74.09,71.86,73.02,2427350.0
2020-11-05 21:30:00,73.77,74.91,73.42,74.24,2079270.0
2020-11-06 21:30:00,74.48,74.62,73.6,74.22,1394681.0
2020-11-09 21:30:00,75.19,78.21,73.82,73.88,3344135.0
2020-11-10 21:30:00,73.76,75.49,73.53,75.1,3789867.0
2020-11-11 21:30:00,75.51,77.09,75.44,76.76,3254337.0
2020-11-12 21:30:00,76.82,77.18,75.59,76.22,3087184.0
2020-11-13 21:30:00,77.0,77.67,76.8,77.19,2681154.0
2020-11-16 21:30:00,77.87,78.47,77.23,77.8,2162525.0
2020-11-17 21:30:00,76.75,77.38,76.17,77.0,2026769.0
2020-11-18 21:30:00,76.47,76.77,74.68,74.7,4192621.0
2020-11-19 21:30:00,74.99,76.3,74.56,76.2,2915689.0
2020-11-20 21:30:00,75.92,76.28,75.67,75.9,2277130.0
2020-11-23 21:30:00,76.0,77.3,75.92,77.2,1958073.0
2020-11-24 21:30:00,77.95,78.77,77.265,78.75,2594878.0
2020-11-25 21:30:00,78.94,79.0,78.17,78.55,2189506.0
2020-11-27 21:30:00,77.94,78.89,77.66,78.41,1104925.0
2020-11-30 21:30:00,77.94,78.33,77.07,78.13,3797954.0
2020-12-01 21:30:00,78.1091,79.035,77.95,78.66,3653650.0
2020-12-02 21:30:00,78.66,78.66,77.98,78.12,2250988.0
2020-12-03 21:30:00,78.07,79.1297,77.75,78.76,2108235.0
2020-12-04 21:30:00,79.15,81.11,78.49,81.06,3078986.0
