datetime,open,high,low,close,volume
2020-05-21 20:30:00,62.95,63.93,62.73,63.34,5484094.0
2020-05-22 20:30:00,63.42,63.49,62.89,63.33,3495887.0
2020-05-26 20:30:00,64.47,65.6,64.33,64.64,7974432.0
2020-05-27 20:30:00,64.97,66.0,63.85,65.97,7118418.0
2020-05-28 20:30:00,66.7,67.73,66.41,66.56,6604269.0
2020-05-29 20:30:00,66.39,66.7,64.62,65.57,8979346.0
2020-06-01 20:30:00,65.44,65.96,65.0122,65.64,5188419.0
2020-06-02 20:30:00,65.64,67.31,65.4102,66.84,5463736.0
2020-06-03 20:30:00,67.14,67.6751,66.24,66.85,6102396.0
2020-06-04 20:30:00,66.29,66.72,65.95,66.53,5468872.0
2020-06-05 20:30:00,67.28,69.19,67.13,68.35,8598303.0
2020-06-08 20:30:00,68.2,70.64,68.16,70.62,8556275.0
2020-06-09 20:30:00,69.87,70.29,68.98,69.37,5957102.0
2020-06-10 20:30:00,69.58,69.61,67.38,67.51,6344432.0
2020-06-11 20:30:00,66.11,66.43,62.71,63.16,11927460.0
2020-06-12 20:30:00,64.77,65.78,62.74,64.15,10345515.0
2020-06-15 20:30:00,63.03,63.78,61.82,63.32,9382759.0
2020-06-16 20:30:00,64.97,66.1899,63.92,65.58,10977964.0
2020-06-17 20:30:00,66.0,66.14,64.665,65.0,7183272.0
2020-06-18 20:30:00,64.65,64.97,63.89,64.49,5852226.0
2020-06-19 20:30:00,65.91,66.0,64.11,64.49,21231347.0
2020-06-22 20:30:00,64.54,64.73,63.28,64.3,6069628.0
2020-06-23 20:30:00,64.86,65.26,64.33,64.43,5260303.0
2020-06-24 20:30:00,63.81,64.05,62.33,63.18,7164441.0
2020-06-25 20:30:00,62.7,64.1997,62.42,64.02,5681430.0
2020-06-26 20:30:00,63.9,64.1233,62.7166,63.45,7321872.0
2020-06-29 20:30:00,64.0,65.27,63.865,64.42,7109127.0
2020-06-30 20:30:00,64.71,65.27,63.96,64.97,7036070.0
2020-07-01 20:30:00,64.97,65.5987,64.49,64.56,5008224.0
2020-07-02 20:30:00,65.16,65.8,64.555,64.7,4700689.0
2020-07-06 20:30:00,65.06,65.4,64.54,64.93,5307346.0
2020-07-07 20:30:00,64.32,64.5674,63.64,63.92,5845869.0
2020-07-08 20:30:00,63.8,64.13,62.43,63.14,9400333.0
2020-07-09 20:30:00,62.34,62.74,60.55,61.28,10172533.0
