datetime,open,high,low,close,volume
2020-05-21 20:30:00,78.46,79.14,78.21,78.6,2387169.0
2020-05-22 20:30:00,78.52,80.5243,78.26,80.51,2977655.0
2020-05-26 20:30:00,81.91,82.74,80.49,80.82,4157631.0
2020-05-27 20:30:00,82.05,82.66,80.95,81.56,3575535.0
2020-05-28 20:30:00,82.66,84.39,82.42,83.7,3402551.0
2020-05-29 20:30:00,82.92,85.12,82.592,85.01,5578241.0
2020-06-01 20:30:00,84.81,86.66,84.1,85.89,3799895.0
2020-06-02 20:30:00,86.35,86.35,85.15,86.23,3407575.0
2020-06-03 20:30:00,86.94,87.34,85.8798,86.48,3229328.0
2020-06-04 20:30:00,85.03,85.37,83.64,84.96,3960717.0
2020-06-05 20:30:00,85.49,85.93,84.13,84.29,4574006.0
2020-06-08 20:30:00,83.86,86.69,83.21,86.4,3138613.0
2020-06-09 20:30:00,85.8,85.99,84.58,85.85,2526506.0
2020-06-10 20:30:00,85.92,87.29,85.92,87.0,4693999.0
2020-06-11 20:30:00,85.76,86.19,83.77,84.01,6670735.0
2020-06-12 20:30:00,85.7,85.87,82.38,83.15,5337220.0
2020-06-15 20:30:00,82.06,84.56,80.97,84.05,5261080.0
2020-06-16 20:30:00,85.82,86.39,84.46,84.92,4685209.0
2020-06-17 20:30:00,85.12,85.13,83.66,84.15,2526964.0
2020-06-18 20:30:00,83.59,84.71,83.5,84.53,3255742.0
2020-06-19 20:30:00,85.66,85.79,81.72,81.72,10702811.0
2020-06-22 20:30:00,82.13,84.22,81.64,83.25,3036316.0
2020-06-23 20:30:00,84.06,84.12,82.4,82.8,4537755.0
2020-06-24 20:30:00,82.13,82.92,81.8,82.58,5071161.0
2020-06-25 20:30:00,82.54,82.54,80.525,81.14,3180567.0
2020-06-26 20:30:00,81.1,81.7,79.2899,79.68,4495844.0
2020-06-29 20:30:00,80.22,80.63,79.29,80.61,2346307.0
2020-06-30 20:30:00,80.54,81.46,80.46,81.18,3627608.0
2020-07-01 20:30:00,81.14,82.82,81.05,82.35,2989157.0
2020-07-02 20:30:00,82.85,83.5,82.51,82.69,1552567.0
2020-07-06 20:30:00,79.39,80.88,73.31,73.59,26851604.0
2020-07-07 20:30:00,71.76,74.65,71.5,74.22,12917248.0
2020-07-08 20:30:00,74.02,75.71,73.81,75.22,6568953.0
2020-07-09 20:30:00,74.62,74.665,73.0568,73.77,6023481.0
2020-07-10 20:30:00,73.36,74.39,72.99,73.58,4969203.0
2020-07-13 20:30:00,73.62,74.34,73.24,73.68,5048284.0
2020-07-14 20:30:00,74.0,74.48,73.34,73.92,4871597.0
2020-07-15 20:30:00,74.65,75.83,73.91,75.45,5792028.0
2020-07-16 20:30:00,75.49,77.17,75.3872,76.95,4807454.0
2020-07-17 20:30:00,77.12,79.1,77.04,78.58,4768963.0
2020-07-20 20:30:00,78.19,78.5001,77.17,77.55,3298726.0
2020-07-21 20:30:00,77.7,78.89,77.44,78.21,3241246.0
2020-07-22 20:30:00,77.94,79.9327,77.3,79.55,4793651.0
2020-07-23 20:30:00,79.65,81.23,79.47,80.59,4838425.0
2020-07-24 20:30:00,80.76,81.93,80.1,80.41,4312263.0
2020-07-27 20:30:00,80.55,81.21,79.59,80.22,2603832.0
2020-07-28 20:30:00,80.2,82.52,80.0,82.06,4532270.0
2020-07-29 20:30:00,82.11,82.68,81.61,82.26,2949971.0
2020-07-30 20:30:00,81.93,82.07,80.915,81.52,3604737.0
