datetime,open,high,low,close,volume
2020-05-21 20:30:00,83.06,83.77,82.01,82.34,3107997.0
2020-05-22 20:30:00,82.19,83.32,81.89,83.23,2760571.0
2020-05-26 20:30:00,84.46,84.6727,82.69,82.81,3910328.0
2020-05-27 20:30:00,84.12,84.2,82.69,83.72,3606650.0
2020-05-28 20:30:00,84.85,86.1,84.6752,85.83,3957640.0
2020-05-29 20:30:00,85.54,86.37,84.67,85.63,4018487.0
2020-06-01 20:30:00,85.84,87.575,85.23,87.44,2438896.0
2020-06-02 20:30:00,87.82,88.1,86.6,87.67,3446830.0
2020-06-03 20:30:00,88.33,89.65,88.0,89.23,2449587.0
2020-06-04 20:30:00,88.8,89.38,87.48,88.44,3640896.0
2020-06-05 20:30:00,89.4,91.56,89.15,89.49,3353385.0
2020-06-08 20:30:00,89.46,92.2,89.11,91.91,2771038.0
2020-06-09 20:30:00,91.0,91.07,88.93,90.32,3023664.0
2020-06-10 20:30:00,90.41,90.95,89.5,90.19,2721368.0
2020-06-11 20:30:00,88.8,89.05,86.34,87.08,4974269.0
2020-06-12 20:30:00,88.93,88.99,85.73,86.74,3935784.0
2020-06-15 20:30:00,85.04,87.4188,84.3,86.96,4501225.0
2020-06-16 20:30:00,89.0,89.48,86.41,86.95,3865236.0
2020-06-17 20:30:00,87.0,87.36,85.48,86.21,4181840.0
2020-06-18 20:30:00,85.66,86.38,85.0,85.77,3480071.0
2020-06-19 20:30:00,86.74,86.9292,82.11,82.11,8075757.0
2020-06-22 20:30:00,82.32,83.55,81.31,82.53,3878885.0
2020-06-23 20:30:00,83.24,83.5,81.49,81.85,3771624.0
2020-06-24 20:30:00,81.08,81.34,79.82,80.47,3676150.0
2020-06-25 20:30:00,80.11,80.23,78.7881,79.45,3985231.0
2020-06-26 20:30:00,79.35,79.9199,77.58,78.93,5321454.0
2020-06-29 20:30:00,79.57,80.25,78.52,80.25,2954003.0
2020-06-30 20:30:00,80.09,80.48,78.93,79.89,4890020.0
2020-07-01 20:30:00,79.97,82.38,79.7625,81.93,2835913.0
2020-07-02 20:30:00,82.64,82.92,81.44,81.84,2819677.0
2020-07-06 20:30:00,80.5,81.86,79.12,79.81,5997782.0
2020-07-07 20:30:00,79.2,81.18,79.15,80.82,4129946.0
2020-07-08 20:30:00,80.86,81.95,80.33,81.44,3433141.0
2020-07-09 20:30:00,81.33,81.33,79.11,79.74,3457440.0
2020-07-10 20:30:00,79.79,81.58,79.76,81.32,2545669.0
2020-07-13 20:30:00,81.15,81.97,80.96,81.42,2205139.0
2020-07-14 20:30:00,81.42,82.4737,81.39,81.69,4218174.0
2020-07-15 20:30:00,82.48,82.64,80.32,80.43,4501709.0
2020-07-16 20:30:00,80.7,81.338,80.43,81.07,2874410.0
2020-07-17 20:30:00,81.69,82.63,81.459,82.4,4603142.0
2020-07-20 20:30:00,82.05,82.23,80.946,81.1,3271569.0
2020-07-21 20:30:00,81.5,82.79,81.1,82.33,3892865.0
2020-07-22 20:30:00,82.0,84.51,81.52,84.15,3763312.0
2020-07-23 20:30:00,84.06,84.39,83.48,83.99,2373087.0
2020-07-24 20:30:00,84.35,84.9,82.621,82.79,2953131.0
2020-07-27 20:30:00,82.5,82.64,81.09,81.29,4199019.0
2020-07-28 20:30:00,81.25,84.98,81.21,84.6,4851395.0
2020-07-29 20:30:00,84.53,85.05,83.84,84.97,2501754.0
2020-07-30 20:30:00,84.31,84.58,83.49,84.57,2828635.0
2020-07-31 20:30:00,84.05,84.81,83.6,84.74,3292473.0
2020-08-03 20:30:00,84.67,84.75,83.11,83.81,2552180.0
2020-08-04 20:30:00,83.5,84.97,83.34,84.69,3234460.0
2020-08-05 20:30:00,84.72,84.86,83.28,83.51,2947067.0
2020-08-06 20:30:00,83.27,84.39,82.67,84.21,3036406.0
2020-08-07 20:30:00,83.79,86.69,83.68,86.61,4289517.0
2020-08-10 20:30:00,87.19,87.21,84.5257,84.76,4323253.0
2020-08-11 20:30:00,84.99,85.0914,83.465,83.67,4546247.0
