datetime,open,high,low,close,volume
2020-05-21 20:30:00,12.49,12.61,12.045,12.29,8138896.0
2020-05-22 20:30:00,12.15,12.25,11.795,12.14,8327756.0
2020-05-26 20:30:00,12.74,12.79,12.11,12.31,9076912.0
2020-05-27 20:30:00,12.5,12.5,11.78,12.43,9418862.0
2020-05-28 20:30:00,12.39,12.4,11.57,11.66,11209815.0
2020-05-29 20:30:00,11.5,11.56,10.77,10.81,43105622.0
2020-06-01 20:30:00,10.8,11.875,10.62,11.7,12175335.0
2020-06-02 20:30:00,11.88,12.22,11.855,12.16,8460765.0
2020-06-03 20:30:00,12.4,12.59,12.08,12.52,8261420.0
2020-06-04 20:30:00,12.35,12.82,12.081,12.72,10409225.0
2020-06-05 20:30:00,13.51,14.9,13.5,14.6,15550339.0
2020-06-08 20:30:00,15.65,15.76,14.54,15.76,13064247.0
2020-06-09 20:30:00,15.0,15.03,14.22,14.55,10895947.0
2020-06-10 20:30:00,14.15,14.5,13.35,13.67,12575589.0
2020-06-11 20:30:00,12.2,13.22,11.9203,12.2,9180422.0
2020-06-12 20:30:00,13.03,13.09,12.11,12.8,8107056.0
2020-06-15 20:30:00,12.01,13.09,11.821,12.89,7488220.0
2020-06-16 20:30:00,13.87,13.88,12.8,13.3,10075498.0
2020-06-17 20:30:00,13.2,13.31,12.6,12.63,7580321.0
2020-06-18 20:30:00,12.44,13.14,12.37,12.95,6610960.0
2020-06-19 20:30:00,13.42,13.66,12.725,12.94,15559675.0
2020-06-22 20:30:00,12.91,12.98,12.555,12.7,6084872.0
2020-06-23 20:30:00,12.91,13.0,12.28,12.38,9560764.0
2020-06-24 20:30:00,12.11,12.17,11.25,11.25,11073137.0
2020-06-25 20:30:00,11.11,11.79,11.06,11.7,8708348.0
2020-06-26 20:30:00,11.56,11.57,10.85,10.94,9114517.0
2020-06-29 20:30:00,10.92,11.1997,10.755,11.12,8125954.0
2020-06-30 20:30:00,10.95,11.43,10.78,11.34,8480676.0
2020-07-01 20:30:00,11.36,11.795,10.98,11.1,9292622.0
2020-07-02 20:30:00,11.47,11.66,11.135,11.24,8120855.0
2020-07-06 20:30:00,11.5,11.73,10.98,11.16,8733491.0
2020-07-07 20:30:00,10.97,10.9983,10.33,10.35,10357084.0
2020-07-08 20:30:00,10.31,10.5,10.085,10.36,9995387.0
2020-07-09 20:30:00,10.32,10.43,9.78,9.8,8992407.0
2020-07-10 20:30:00,9.69,10.24,9.61,10.19,8822343.0
2020-07-13 20:30:00,10.2,10.455,9.83,9.96,8218629.0
2020-07-14 20:30:00,9.91,10.43,9.74,10.43,8370748.0
2020-07-15 20:30:00,10.73,10.83,10.47,10.74,7685489.0
2020-07-16 20:30:00,10.61,10.97,10.33,10.67,6045705.0
2020-07-17 20:30:00,10.72,10.93,10.195,10.29,6261769.0
2020-07-20 20:30:00,10.26,10.58,10.18,10.27,7695065.0
2020-07-21 20:30:00,10.69,11.63,10.69,11.35,14806934.0
2020-07-22 20:30:00,11.14,11.25,10.88,11.07,9684398.0
2020-07-23 20:30:00,10.87,11.215,10.755,10.88,9172957.0
2020-07-24 20:30:00,10.85,11.09,10.67,10.7,5428010.0
2020-07-27 20:30:00,10.67,10.7,10.26,10.43,7119603.0
2020-07-28 20:30:00,10.36,10.675,10.31,10.34,5853441.0
2020-07-29 20:30:00,10.41,10.85,10.2718,10.84,7501132.0
2020-07-30 20:30:00,10.52,10.59,10.16,10.34,7693253.0
2020-07-31 20:30:00,10.23,10.52,10.13,10.49,7554313.0
2020-08-03 20:30:00,10.51,10.765,10.28,10.6,6596775.0
2020-08-04 20:30:00,10.57,11.32,10.55,11.09,11389173.0
2020-08-05 20:30:00,11.86,12.14,11.55,12.04,14173266.0
2020-08-06 20:30:00,11.9,12.0463,11.635,11.77,9407312.0
2020-08-07 20:30:00,11.57,12.17,11.43,12.11,9433928.0
2020-08-10 20:30:00,12.25,12.7,12.12,12.64,10311323.0
2020-08-11 20:30:00,13.04,13.25,12.3,12.36,8952613.0
2020-08-12 20:30:00,12.67,12.75,12.31,12.51,6984044.0
2020-08-13 20:30:00,12.21,12.3583,11.83,11.84,7692518.0
2020-08-14 20:30:00,11.77,12.12,11.58,12.12,4218075.0
2020-08-17 20:30:00,12.01,12.04,11.5422,11.74,6813187.0
2020-08-18 20:30:00,11.64,11.72,11.285,11.34,6895150.0
2020-08-19 20:30:00,11.34,11.4,11.06,11.09,6724876.0
2020-08-20 20:30:00,10.86,11.015,10.68,10.69,5064611.0
2020-08-21 20:30:00,10.67,10.705,10.38,10.44,4932329.0
2020-08-24 20:30:00,10.54,10.915,10.47,10.78,5947059.0
2020-08-25 20:30:00,10.9,11.065,10.71,10.98,5796308.0
2020-08-26 20:30:00,11.0,11.1,10.68,10.7,5244404.0
2020-08-27 20:30:00,10.76,10.87,10.52,10.76,5458367.0
2020-08-28 20:30:00,10.84,11.23,10.79,11.1,5612540.0
2020-08-31 20:30:00,11.1,11.1403,10.75,10.87,5002643.0
2020-09-01 20:30:00,10.76,11.07,10.62,10.91,5748459.0
2020-09-02 20:30:00,10.91,10.94,10.585,10.66,8443800.0
2020-09-03 20:30:00,10.48,10.77,10.39,10.47,8122473.0
2020-09-04 20:30:00,10.61,10.7745,10.35,10.55,5498361.0
2020-09-08 20:30:00,10.21,10.25,9.49,9.62,11081020.0
2020-09-09 20:30:00,9.77,9.79,9.365,9.58,7062138.0
2020-09-10 20:30:00,9.58,9.69,8.86,8.87,12149746.0
2020-09-11 20:30:00,8.79,9.015,8.66,8.97,10429338.0
2020-09-14 20:30:00,9.04,9.22,8.9,9.12,6228140.0
2020-09-15 20:30:00,9.17,9.39,9.13,9.23,8890372.0
