datetime,open,high,low,close,volume
2020-05-21 20:30:00,119.88,119.88,117.2,117.36,2257154.0
2020-05-22 20:30:00,117.22,120.01,116.615,119.82,2287319.0
2020-05-26 20:30:00,120.44,120.4802,116.1927,116.64,3260965.0
2020-05-27 20:30:00,115.07,117.76,111.11,117.38,4978664.0
2020-05-28 20:30:00,117.99,122.1,116.765,121.35,4753182.0
2020-05-29 20:30:00,122.29,123.14,119.27,122.88,4571913.0
2020-06-01 20:30:00,123.28,124.28,122.37,122.78,2036792.0
2020-06-02 20:30:00,123.25,123.53,120.68,122.36,2357935.0
2020-06-03 20:30:00,122.15,122.15,117.19,117.93,3812966.0
2020-06-04 20:30:00,117.48,119.1096,116.05,117.18,2905372.0
2020-06-05 20:30:00,115.44,119.2,113.28,118.32,3355341.0
2020-06-08 20:30:00,116.5,119.58,115.89,119.51,3500128.0
2020-06-09 20:30:00,120.1,121.76,118.535,121.07,2346047.0
2020-06-10 20:30:00,122.15,125.66,121.46,124.81,3956057.0
2020-06-11 20:30:00,124.66,127.54,121.94,122.42,3509391.0
2020-06-12 20:30:00,123.1,124.76,119.81,121.97,2525502.0
2020-06-15 20:30:00,122.9,127.5,122.71,126.52,3883336.0
2020-06-16 20:30:00,127.14,127.87,125.06,125.73,2513875.0
2020-06-17 20:30:00,126.73,129.0065,126.29,128.11,2173497.0
2020-06-18 20:30:00,128.1,129.45,128.1,129.35,2461399.0
2020-06-19 20:30:00,131.1277,131.24,127.9,130.19,4236546.0
2020-06-22 20:30:00,131.02,131.86,128.8,129.72,2869460.0
2020-06-23 20:30:00,131.32,133.6,130.2,130.6,2553356.0
2020-06-24 20:30:00,130.55,131.6,128.65,130.87,2208879.0
2020-06-25 20:30:00,131.48,131.89,129.09,130.74,2174400.0
2020-06-26 20:30:00,130.92,131.38,128.09,130.93,4905120.0
2020-06-29 20:30:00,130.98,132.37,129.2,130.69,1679646.0
2020-06-30 20:30:00,132.61,132.61,130.7,132.05,2177426.0
2020-07-01 20:30:00,132.04,135.52,131.33,135.22,3026491.0
2020-07-02 20:30:00,136.42,136.42,133.47,133.84,1893395.0
2020-07-06 20:30:00,135.47,136.5231,133.51,134.27,2322068.0
2020-07-07 20:30:00,133.87,137.42,133.8,134.78,1896134.0
2020-07-08 20:30:00,135.91,136.34,134.51,135.61,1866832.0
2020-07-09 20:30:00,136.36,139.11,136.06,138.8,2312083.0
2020-07-10 20:30:00,139.42,141.25,138.29,140.81,2119864.0
2020-07-13 20:30:00,141.01,141.58,134.77,135.31,2570714.0
