datetime,open,high,low,close,volume
2020-05-21 20:30:00,386.11,389.38,381.44,385.18,209510.0
2020-05-22 20:30:00,385.0,389.99,382.47,389.4,180360.0
2020-05-26 20:30:00,398.95,402.605,395.0,396.55,332912.0
2020-05-27 20:30:00,396.55,398.185,372.615,394.94,301630.0
2020-05-28 20:30:00,398.4,407.245,395.34,397.61,340940.0
2020-05-29 20:30:00,400.37,407.53,394.6,402.65,1864227.0
2020-06-01 20:30:00,401.7,414.95,400.9,407.84,290133.0
2020-06-02 20:30:00,407.8,417.73,398.83,416.24,411101.0
2020-06-03 20:30:00,419.0,425.95,416.52,423.92,203057.0
2020-06-04 20:30:00,416.63,419.795,404.69,407.07,314104.0
2020-06-05 20:30:00,411.1,427.235,409.5,420.71,290879.0
2020-06-08 20:30:00,420.0,423.25,405.18,411.9,342697.0
2020-06-09 20:30:00,407.2,426.94,407.2,419.51,262847.0
2020-06-10 20:30:00,427.17,429.5873,420.31,426.87,288550.0
2020-06-11 20:30:00,412.19,426.14,401.95,403.41,315024.0
2020-06-12 20:30:00,417.63,420.96,399.0405,413.52,256222.0
2020-06-15 20:30:00,405.0,420.27,403.4,419.54,201489.0
2020-06-16 20:30:00,427.9,431.6147,415.365,425.32,192381.0
2020-06-17 20:30:00,428.76,430.0,420.6,422.43,142368.0
2020-06-18 20:30:00,419.92,427.41,418.55,423.99,170106.0
2020-06-19 20:30:00,426.32,428.53,418.285,421.9,352637.0
2020-06-22 20:30:00,421.74,433.14,420.15,428.47,186026.0
2020-06-23 20:30:00,432.88,434.63,423.05,425.53,170470.0
2020-06-24 20:30:00,422.4,427.78,407.42,409.06,199135.0
2020-06-25 20:30:00,409.02,416.89,405.007,416.37,177754.0
2020-06-26 20:30:00,417.35,419.98,406.2,406.2,415433.0
2020-06-29 20:30:00,408.36,409.43,397.68,406.03,218906.0
2020-06-30 20:30:00,407.77,421.185,407.77,418.04,254358.0
2020-07-01 20:30:00,416.52,428.275,413.53,423.57,200983.0
2020-07-02 20:30:00,428.0,428.99,418.01,418.77,153651.0
2020-07-06 20:30:00,425.39,427.52,416.42,416.85,249347.0
2020-07-07 20:30:00,412.18,422.18,409.53,409.8,122538.0
2020-07-08 20:30:00,412.47,423.1,410.05,422.0,163524.0
2020-07-09 20:30:00,426.66,428.54,410.015,421.76,255259.0
2020-07-10 20:30:00,422.09,423.815,409.35,412.17,289047.0
2020-07-13 20:30:00,415.22,419.05,398.63,399.62,331045.0
2020-07-14 20:30:00,396.84,409.19,388.02,408.59,350570.0
2020-07-15 20:30:00,411.77,412.27,402.31,406.01,306276.0
2020-07-16 20:30:00,400.93,403.32,396.87,400.29,220986.0
2020-07-17 20:30:00,403.42,414.53,399.885,413.15,317600.0
2020-07-20 20:30:00,413.15,418.08,407.01,415.73,247039.0
2020-07-21 20:30:00,418.05,422.49,413.46,416.91,281841.0
2020-07-22 20:30:00,417.18,424.95,417.18,422.1,210994.0
2020-07-23 20:30:00,421.52,433.18,415.61,420.57,300652.0
2020-07-24 20:30:00,415.21,420.26,409.14,414.33,174929.0
2020-07-27 20:30:00,417.44,427.52,415.15,425.72,261811.0
2020-07-28 20:30:00,423.36,424.11,415.29,416.3,130229.0
2020-07-29 20:30:00,423.55,440.92,423.55,438.39,275282.0
2020-07-30 20:30:00,415.8,441.77,415.8,439.1,311796.0
2020-07-31 20:30:00,441.33,442.65,427.22,439.19,220471.0
2020-08-03 20:30:00,442.95,447.72,437.0,438.17,294689.0
2020-08-04 20:30:00,439.66,440.49,431.135,435.77,166474.0
2020-08-05 20:30:00,438.0,441.68,435.18,437.44,155809.0
2020-08-06 20:30:00,438.59,443.16,433.69,441.06,171764.0
2020-08-07 20:30:00,437.87,444.77,435.84,441.72,189592.0
2020-08-10 20:30:00,441.93,443.01,431.28,437.26,151858.0
2020-08-11 20:30:00,435.09,438.36,426.04,429.42,219968.0
2020-08-12 20:30:00,435.0,438.15,430.48,431.7,94312.0
2020-08-13 20:30:00,432.97,443.99,431.86,434.8,215945.0
2020-08-14 20:30:00,435.05,438.4489,428.55,429.67,137201.0
2020-08-17 20:30:00,434.09,437.2,431.79,434.56,191186.0
2020-08-18 20:30:00,435.91,437.66,429.305,430.14,157667.0
2020-08-19 20:30:00,433.26,433.26,424.96,426.5,221773.0
2020-08-20 20:30:00,423.87,433.76,423.31,428.51,148933.0
2020-08-21 20:30:00,427.95,428.37,420.41,421.6,157674.0
2020-08-24 20:30:00,426.16,427.94,418.51,420.66,175215.0
2020-08-25 20:30:00,421.17,426.13,418.99,423.42,214264.0
2020-08-26 20:30:00,424.9,431.07,420.5,425.38,146053.0
2020-08-27 20:30:00,426.1,428.42,419.72,425.01,128000.0
2020-08-28 20:30:00,426.29,432.96,423.6,425.48,117205.0
2020-08-31 20:30:00,425.45,428.15,415.56,420.79,208767.0
2020-09-01 20:30:00,423.01,451.23,423.01,444.71,388321.0
2020-09-02 20:30:00,447.55,452.74,431.18,451.02,223575.0
2020-09-03 20:30:00,443.76,446.91,417.04,419.34,205598.0
2020-09-04 20:30:00,416.98,424.11,397.82,419.43,276543.0
2020-09-08 20:30:00,403.79,418.69,401.7,406.32,310049.0
2020-09-09 20:30:00,412.5,422.59,405.47,419.7,212039.0
2020-09-10 20:30:00,423.33,427.99,413.06,413.37,207031.0
2020-09-11 20:30:00,418.72,418.72,409.09,417.39,189022.0
2020-09-14 20:30:00,423.62,426.92,418.73,424.63,124067.0
2020-09-15 20:30:00,432.0,436.79,429.84,435.72,144867.0
2020-09-16 20:30:00,440.0,440.0,428.18,431.25,207745.0
2020-09-17 20:30:00,428.57,446.795,426.54,443.26,369522.0
2020-09-18 20:30:00,447.71,449.44,435.64,437.01,639630.0
2020-09-21 20:30:00,431.72,431.72,416.25,424.24,249822.0
2020-09-22 20:30:00,424.76,429.055,418.245,428.33,189381.0
2020-09-23 20:30:00,426.86,430.895,415.16,417.42,194839.0
2020-09-24 20:30:00,415.0,417.98,405.43,410.0,251741.0
