datetime,open,high,low,close,volume
2020-05-21 20:30:00,17.57,17.97,17.21,17.45,6655697.0
2020-05-22 20:30:00,17.64,17.78,17.22,17.61,5876410.0
2020-05-26 20:30:00,18.52,19.59,18.23,19.19,9212094.0
2020-05-27 20:30:00,20.12,20.98,19.7,20.97,9498325.0
2020-05-28 20:30:00,21.02,21.17,19.98,20.13,7863317.0
2020-05-29 20:30:00,19.65,19.91,19.35,19.39,10798922.0
2020-06-01 20:30:00,19.58,20.07,19.34,19.82,5417065.0
2020-06-02 20:30:00,20.21,20.55,19.94,20.21,7438194.0
2020-06-03 20:30:00,20.9,21.51,20.81,21.36,8660982.0
2020-06-04 20:30:00,21.31,22.72,20.98,22.705,8489718.0
2020-06-05 20:30:00,24.0,24.92,23.28,23.49,11003407.0
2020-06-08 20:30:00,24.47,24.93,24.13,24.77,12236972.0
2020-06-09 20:30:00,23.83,24.41,23.49,24.08,8835819.0
2020-06-10 20:30:00,23.39,23.67,22.345,22.4,19356968.0
2020-06-11 20:30:00,20.57,21.495,19.67,19.75,10834656.0
2020-06-12 20:30:00,21.02,21.18,20.06,20.805,7169194.0
2020-06-15 20:30:00,19.72,21.64,19.59,21.46,10504172.0
2020-06-16 20:30:00,22.8,22.885,21.41,22.04,7253787.0
2020-06-17 20:30:00,22.08,22.33,21.47,21.48,8114284.0
2020-06-18 20:30:00,21.22,21.97,21.05,21.59,8145923.0
2020-06-19 20:30:00,22.06,22.11,20.76,20.79,31547013.0
2020-06-22 20:30:00,20.8,21.345,20.52,21.02,9928372.0
2020-06-23 20:30:00,21.5,21.78,21.07,21.08,8007999.0
2020-06-24 20:30:00,20.58,20.645,19.735,19.89,8176028.0
2020-06-25 20:30:00,19.77,20.59,19.63,20.5,6996888.0
2020-06-26 20:30:00,19.96,20.0,18.68,18.76,10954453.0
2020-06-29 20:30:00,18.88,19.15,18.48,18.74,6993596.0
2020-06-30 20:30:00,18.52,19.46,18.47,19.28,8561389.0
2020-07-01 20:30:00,19.31,19.31,18.4,18.435,7287920.0
2020-07-02 20:30:00,19.03,19.36,18.505,18.57,8235166.0
2020-07-06 20:30:00,19.11,19.39,18.605,18.86,5248890.0
2020-07-07 20:30:00,18.6,18.6,17.97,18.06,6953642.0
2020-07-08 20:30:00,18.01,18.34,17.72,18.14,6958038.0
2020-07-09 20:30:00,18.04,18.1,17.28,17.39,4676349.0
2020-07-10 20:30:00,17.43,18.42,17.4,18.39,6239953.0
2020-07-13 20:30:00,18.78,19.05,18.15,18.7,8050898.0
2020-07-14 20:30:00,18.69,18.71,17.97,18.145,7012558.0
2020-07-15 20:30:00,18.78,19.28,18.535,19.17,6096080.0
2020-07-16 20:30:00,18.81,19.56,18.755,19.16,4057143.0
2020-07-17 20:30:00,19.08,19.27,18.74,18.76,5026636.0
2020-07-20 20:30:00,18.66,18.805,18.43,18.45,4655964.0
2020-07-21 20:30:00,18.57,19.4,18.57,19.36,6667890.0
2020-07-22 20:30:00,19.1224,19.5,19.02,19.42,7207642.0
2020-07-23 20:30:00,19.01,19.5,18.255,19.405,7436328.0
2020-07-24 20:30:00,19.55,19.88,19.37,19.54,6641556.0
2020-07-27 20:30:00,19.41,19.47,19.05,19.42,4916784.0
2020-07-28 20:30:00,19.29,19.535,19.19,19.27,5393447.0
2020-07-29 20:30:00,19.17,20.075,18.995,20.0,7435004.0
2020-07-30 20:30:00,19.46,19.84,18.95,19.69,6124253.0
2020-07-31 20:30:00,19.64,19.88,19.205,19.86,9862164.0
2020-08-03 20:30:00,19.98,19.98,19.56,19.64,4496583.0
2020-08-04 20:30:00,19.72,19.785,19.38,19.49,3589758.0
