datetime,open,high,low,close,volume
2020-05-21 20:30:00,56.12,56.16,55.03,55.83,1449735.0
2020-05-22 20:30:00,56.2,57.36,55.72,57.22,1291872.0
2020-05-26 20:30:00,59.72,60.97,58.85,60.7,1923791.0
2020-05-27 20:30:00,61.73,62.87,60.0,61.95,1957357.0
2020-05-28 20:30:00,62.58,62.58,59.075,59.62,2104282.0
2020-05-29 20:30:00,58.96,60.35,58.0,60.06,6912064.0
2020-06-01 20:30:00,60.92,63.52,60.43,61.59,2174839.0
2020-06-02 20:30:00,62.81,62.82,60.6,61.77,1573923.0
2020-06-03 20:30:00,62.74,65.41,62.6,64.78,1708103.0
2020-06-04 20:30:00,64.35,65.88,63.97,65.81,1536085.0
2020-06-05 20:30:00,69.3,71.37,67.78,71.25,3251681.0
2020-06-08 20:30:00,71.32,74.81,71.25,74.58,4498525.0
2020-06-09 20:30:00,73.38,73.49,71.01,71.9,3542515.0
2020-06-10 20:30:00,71.34,71.42,69.16,70.52,1858640.0
2020-06-11 20:30:00,68.08,68.18,63.11,63.26,1973401.0
2020-06-12 20:30:00,65.41,66.63,62.87,64.97,1142727.0
2020-06-15 20:30:00,63.06,65.82,62.12,65.52,1084511.0
2020-06-16 20:30:00,68.44,68.98,66.22,67.96,1106238.0
2020-06-17 20:30:00,68.12,68.88,67.37,67.83,1352258.0
2020-06-18 20:30:00,66.77,67.91,66.45,67.79,850121.0
2020-06-19 20:30:00,68.9,69.31,66.19,66.2,1354983.0
2020-06-22 20:30:00,66.07,66.14,64.845,65.85,868291.0
2020-06-23 20:30:00,66.55,67.41,66.26,66.54,1529326.0
2020-06-24 20:30:00,65.47,66.02,61.86,63.05,1390151.0
2020-06-25 20:30:00,62.33,64.06,61.98,63.86,977785.0
2020-06-26 20:30:00,63.69,63.69,61.77,62.53,1970036.0
2020-06-29 20:30:00,63.24,64.115,61.95,63.26,985941.0
2020-06-30 20:30:00,63.42,64.54,62.87,63.93,873369.0
2020-07-01 20:30:00,63.87,64.51,62.95,63.42,784297.0
2020-07-02 20:30:00,64.71,64.71,63.28,63.46,757247.0
2020-07-06 20:30:00,64.86,65.0,63.45,64.05,775190.0
2020-07-07 20:30:00,63.58,63.7,62.46,63.05,1085063.0
2020-07-08 20:30:00,62.65,63.08,60.73,61.85,1326812.0
2020-07-09 20:30:00,61.28,61.36,58.98,59.96,1589389.0
2020-07-10 20:30:00,59.94,63.09,59.76,63.01,994797.0
2020-07-13 20:30:00,63.68,64.64,63.005,63.8,872970.0
2020-07-14 20:30:00,63.63,66.23,63.09,66.15,1202408.0
2020-07-15 20:30:00,67.78,68.8,66.97,68.26,1308935.0
2020-07-16 20:30:00,67.84,68.36,66.69,66.92,1104692.0
2020-07-17 20:30:00,67.26,67.43,66.08,66.4,1004413.0
2020-07-20 20:30:00,66.23,66.535,64.76,65.0,849488.0
2020-07-21 20:30:00,65.29,67.26,65.29,65.94,877393.0
2020-07-22 20:30:00,65.76,68.28,65.345,68.16,741483.0
2020-07-23 20:30:00,67.94,69.44,67.94,68.72,569794.0
2020-07-24 20:30:00,68.38,68.83,67.42,67.79,945024.0
2020-07-27 20:30:00,67.86,71.03,67.62,70.5,1547256.0
2020-07-28 20:30:00,65.26,68.48,62.205,62.42,3554363.0
2020-07-29 20:30:00,62.22,62.88,59.61,59.81,2963125.0
2020-07-30 20:30:00,59.04,60.47,58.675,59.32,1028521.0
2020-07-31 20:30:00,59.87,60.08,58.82,60.08,971719.0
2020-08-03 20:30:00,60.24,60.92,59.25,60.13,1056961.0
2020-08-04 20:30:00,60.21,62.115,60.21,61.74,853379.0
2020-08-05 20:30:00,62.12,63.03,61.51,62.8,1082556.0
2020-08-06 20:30:00,61.9,63.7,61.7827,63.5,1249048.0
2020-08-07 20:30:00,63.12,63.46,62.54,62.75,879859.0
2020-08-10 20:30:00,63.01,64.93,62.88,64.57,736514.0
2020-08-11 20:30:00,65.41,65.49,63.885,64.21,799651.0
2020-08-12 20:30:00,64.87,64.87,63.45,64.38,792881.0
2020-08-13 20:30:00,64.03,65.59,63.72,64.69,571872.0
2020-08-14 20:30:00,64.21,64.95,63.43,64.65,604662.0
2020-08-17 20:30:00,64.92,65.15,63.32,63.45,869382.0
2020-08-18 20:30:00,63.46,63.57,62.04,63.28,1043629.0
2020-08-19 20:30:00,63.4,64.74,63.02,64.06,780515.0
2020-08-20 20:30:00,63.17,63.7,62.15,62.34,655883.0
2020-08-21 20:30:00,62.39,62.56,61.3,61.48,672360.0
2020-08-24 20:30:00,61.82,63.66,61.59,63.66,876970.0
2020-08-25 20:30:00,63.97,63.97,62.18,62.93,469769.0
2020-08-26 20:30:00,62.46,62.77,61.0,61.45,1035524.0
2020-08-27 20:30:00,62.06,63.57,61.77,62.45,1145618.0
2020-08-28 20:30:00,62.62,64.345,61.86,64.19,1009176.0
2020-08-31 20:30:00,63.97,64.48,62.83,62.85,921607.0
2020-09-01 20:30:00,62.55,62.79,61.12,61.33,872567.0
2020-09-02 20:30:00,61.37,63.23,61.16,62.77,996287.0
2020-09-03 20:30:00,63.26,65.2,62.64,63.28,1081101.0
2020-09-04 20:30:00,63.44,63.91,61.77,62.44,580387.0
2020-09-08 20:30:00,62.19,62.4,60.86,61.1,789993.0
2020-09-09 20:30:00,61.78,62.6,60.65,61.4,857854.0
2020-09-10 20:30:00,61.59,62.79,61.4,62.0,1070265.0
2020-09-11 20:30:00,62.0,63.62,61.72,63.33,991214.0
2020-09-14 20:30:00,63.54,65.87,63.27,65.61,750492.0
2020-09-15 20:30:00,65.65,67.33,65.47,67.25,1544505.0
2020-09-16 20:30:00,67.04,68.89,66.407,68.19,1318555.0
2020-09-17 20:30:00,67.39,70.24,66.22,70.1,1421823.0
2020-09-18 20:30:00,69.85,70.42,68.22,68.34,1429668.0
2020-09-21 20:30:00,67.09,67.145,64.64,65.01,1092374.0
2020-09-22 20:30:00,64.77,66.11,63.3,63.57,1383342.0
2020-09-23 20:30:00,64.53,65.15,63.085,63.53,957522.0
2020-09-24 20:30:00,63.49,64.54,62.125,62.67,735777.0
2020-09-25 20:30:00,62.61,65.23,62.33,64.89,872074.0
2020-09-28 20:30:00,65.74,67.81,65.74,66.77,668286.0
2020-09-29 20:30:00,66.45,67.07,65.08,65.29,744273.0
2020-09-30 20:30:00,66.03,67.15,65.67,66.27,856339.0
2020-10-01 20:30:00,66.84,67.33,66.02,66.67,819192.0
2020-10-02 20:30:00,65.6,68.22,65.35,67.93,699680.0
2020-10-05 20:30:00,68.35,69.93,68.21,69.55,989657.0
2020-10-06 20:30:00,70.0,71.705,69.38,70.16,1791918.0
2020-10-07 20:30:00,72.0,74.25,71.22,72.21,2515437.0
2020-10-08 20:30:00,72.63,74.68,72.36,74.33,1069733.0
2020-10-09 20:30:00,74.56,75.0,72.66,73.21,1324505.0
2020-10-12 20:30:00,73.45,73.57,72.59,72.62,630657.0
2020-10-13 20:30:00,71.95,72.17,71.48,71.96,757060.0
2020-10-14 20:30:00,71.91,73.05,71.745,72.13,502068.0
2020-10-15 20:30:00,71.03,73.5,70.691,73.24,617971.0
2020-10-16 20:30:00,73.28,73.68,72.14,72.7,963964.0
2020-10-19 20:30:00,72.66,73.02,71.46,71.66,788840.0
2020-10-20 20:30:00,72.34,73.109,71.48,71.89,857157.0
2020-10-21 20:30:00,72.02,72.35,71.25,71.34,1885605.0
2020-10-22 20:30:00,71.73,72.92,71.03,72.88,1632150.0
2020-10-23 20:30:00,73.3,73.58,71.55,72.11,688439.0
2020-10-26 20:30:00,71.06,71.21,67.23,67.79,1201291.0
2020-10-27 20:30:00,67.68,68.105,66.17,66.23,749235.0
2020-10-28 20:30:00,64.45,65.1,63.21,63.31,1089612.0
2020-10-29 20:30:00,63.22,64.87,62.835,64.09,1129268.0
2020-10-30 20:30:00,64.09,64.435,62.62,63.45,725839.0
2020-11-02 21:30:00,64.52,65.99,64.12,65.67,1062832.0
2020-11-03 21:30:00,66.75,68.44,66.59,67.23,671031.0
2020-11-04 21:30:00,67.7,68.91,67.09,67.21,1237242.0
2020-11-05 21:30:00,67.91,68.71,67.14,67.76,766854.0
2020-11-06 21:30:00,67.78,68.305,65.89,66.39,768731.0
2020-11-09 21:30:00,72.86,82.39,72.71,75.87,2421918.0
2020-11-10 21:30:00,76.46,76.92,75.24,76.46,1073884.0
2020-11-11 21:30:00,76.48,76.725,73.69,73.78,1025139.0
2020-11-12 21:30:00,73.1,73.1,70.79,71.41,735849.0
2020-11-13 21:30:00,72.0,72.55,71.07,71.93,585587.0
2020-11-16 21:30:00,74.26,74.62,72.2,74.23,1099049.0
2020-11-17 21:30:00,73.44,74.77,73.07,74.5,740489.0
2020-11-18 21:30:00,74.62,75.4835,73.23,73.24,1073931.0
2020-11-19 21:30:00,72.49,72.62,70.46,71.6,1020733.0
2020-11-20 21:30:00,71.21,71.385,69.31,69.62,1215039.0
2020-11-23 21:30:00,70.04,70.42,69.35,70.07,1339934.0
2020-11-24 21:30:00,71.53,73.38,71.01,71.98,1566055.0
2020-11-25 21:30:00,71.96,74.1249,71.11,73.26,1041140.0
2020-11-27 21:30:00,73.02,73.63,72.315,73.19,661230.0
2020-11-30 21:30:00,73.0,73.0,71.755,72.38,3592799.0
2020-12-01 21:30:00,73.29,73.78,71.58,72.75,1064420.0
2020-12-02 21:30:00,71.77,73.12,71.75,72.63,815878.0
2020-12-03 21:30:00,73.0,76.22,72.64,75.66,838972.0
2020-12-04 21:30:00,75.42,76.39,75.03,76.38,1332753.0
2020-12-07 21:30:00,78.5,79.7,76.28,76.6,853082.0
2020-12-08 21:30:00,75.79,77.95,75.69,77.5,566025.0
2020-12-09 21:30:00,77.8,78.5117,76.75,77.4,602791.0
2020-12-10 21:30:00,76.58,77.48,75.63,76.39,963851.0
2020-12-11 21:30:00,75.93,77.61,75.61,77.28,668063.0
2020-12-14 21:30:00,77.83,78.78,76.42,76.54,1008038.0
