datetime,open,high,low,close,volume
2020-05-21 20:30:00,78.65,79.103,76.82,77.09,2299484.0
2020-05-22 20:30:00,76.34,76.84,75.15,76.46,2036416.0
2020-05-26 20:30:00,79.16,79.92,78.4606,78.97,2747470.0
2020-05-27 20:30:00,80.0,81.92,79.11,81.73,3328408.0
2020-05-28 20:30:00,81.92,82.03,78.2,78.56,4131089.0
2020-05-29 20:30:00,78.33,79.3,77.08,78.26,4305494.0
2020-06-01 20:30:00,78.03,78.97,76.31,78.83,2470640.0
2020-06-02 20:30:00,79.64,81.73,79.08,81.57,3151882.0
2020-06-03 20:30:00,82.85,84.3616,82.64,83.73,2562417.0
2020-06-04 20:30:00,82.56,83.64,81.6801,83.13,2586649.0
2020-06-05 20:30:00,86.77,88.46,86.15,87.4,3767337.0
2020-06-08 20:30:00,88.56,89.79,87.39,89.73,3355900.0
2020-06-09 20:30:00,86.56,86.91,85.13,85.67,3810238.0
2020-06-10 20:30:00,85.05,87.02,83.41,84.33,3201673.0
2020-06-11 20:30:00,78.01,79.85,74.96,75.0,4387240.0
2020-06-12 20:30:00,77.73,79.66,75.315,77.26,3025939.0
2020-06-15 20:30:00,73.43,76.59,72.6,75.6,4309403.0
2020-06-16 20:30:00,78.9,78.95,75.18,77.04,3419649.0
2020-06-17 20:30:00,77.04,77.265,72.84,72.88,3665501.0
2020-06-18 20:30:00,72.51,76.67,72.1,76.24,3760186.0
2020-06-19 20:30:00,78.0,78.41,74.605,74.7,7484416.0
2020-06-22 20:30:00,74.1,74.84,72.9,74.4,2455728.0
2020-06-23 20:30:00,74.75,75.455,74.17,74.7,2749912.0
2020-06-24 20:30:00,73.5,73.72,69.32,69.99,3560170.0
2020-06-25 20:30:00,69.42,71.459,68.89,70.07,2655162.0
2020-06-26 20:30:00,69.73,69.75,67.96,68.07,3797733.0
2020-06-29 20:30:00,68.84,69.76,67.82,68.66,2365292.0
2020-06-30 20:30:00,68.02,72.35,67.26,71.9,3502936.0
2020-07-01 20:30:00,71.77,73.35,68.83,69.11,2251711.0
2020-07-02 20:30:00,70.27,70.98,68.28,68.42,2624126.0
2020-07-06 20:30:00,69.61,69.95,66.28,68.09,3592368.0
2020-07-07 20:30:00,67.19,67.25,64.48,64.61,3120815.0
2020-07-08 20:30:00,64.68,65.562,63.64,63.98,3798034.0
2020-07-09 20:30:00,64.0,64.33,58.92,58.98,6096188.0
2020-07-10 20:30:00,58.73,61.12,58.72,61.06,4247860.0
2020-07-13 20:30:00,61.34,61.77,59.5,60.27,3481437.0
2020-07-14 20:30:00,59.63,62.21,59.4,61.96,3423297.0
2020-07-15 20:30:00,63.97,65.72,62.7,65.46,3635513.0
2020-07-16 20:30:00,65.07,66.12,63.8729,64.87,1857268.0
2020-07-17 20:30:00,65.31,66.16,63.585,63.84,2123470.0
2020-07-20 20:30:00,63.85,64.56,62.27,62.33,2079577.0
2020-07-21 20:30:00,63.73,66.9,63.5,66.42,3242033.0
2020-07-22 20:30:00,65.16,65.529,63.91,65.25,2585748.0
2020-07-23 20:30:00,64.82,65.7,63.97,65.18,2104706.0
2020-07-24 20:30:00,65.45,66.48,64.75,65.06,2040648.0
2020-07-27 20:30:00,64.75,65.03,63.6,64.59,1826579.0
2020-07-28 20:30:00,64.14,64.96,63.4,63.58,2428573.0
2020-07-29 20:30:00,64.16,65.59,63.71,65.58,2449149.0
2020-07-30 20:30:00,64.01,64.21,61.3,63.09,3118401.0
2020-07-31 20:30:00,61.37,63.1,60.59,62.02,5835880.0
2020-08-03 20:30:00,61.31,62.0,60.035,61.12,4331873.0
2020-08-04 20:30:00,60.75,62.33,60.12,61.85,3412611.0
2020-08-05 20:30:00,63.12,63.12,60.53,61.96,4595467.0
2020-08-06 20:30:00,61.1,62.9499,60.6799,60.97,3187788.0
2020-08-07 20:30:00,60.6,62.99,60.14,62.87,2913999.0
2020-08-10 20:30:00,63.37,64.92,62.9,64.87,3387086.0
2020-08-11 20:30:00,66.39,67.47,63.75,64.11,3544158.0
2020-08-12 20:30:00,65.34,65.51,63.805,64.41,3442555.0
2020-08-13 20:30:00,63.85,64.29,62.62,62.63,2875543.0
2020-08-14 20:30:00,62.1,63.76,61.86,63.66,2638121.0
