datetime,open,high,low,close,volume
2020-05-21 20:30:00,280.71,284.33,279.49,281.29,495494.0
2020-05-22 20:30:00,282.25,290.59,279.525,289.96,858633.0
2020-05-26 20:30:00,293.62,296.6,285.83,293.49,771585.0
2020-05-27 20:30:00,293.02,303.0,289.9541,302.89,639438.0
2020-05-28 20:30:00,304.0,313.46,303.81,310.69,564494.0
2020-05-29 20:30:00,310.81,315.01,306.02,314.13,727335.0
2020-06-01 20:30:00,314.68,320.77,311.685,317.68,715666.0
2020-06-02 20:30:00,314.35,319.98,314.15,318.26,609574.0
2020-06-03 20:30:00,312.33,323.025,312.33,314.95,606188.0
2020-06-04 20:30:00,312.19,314.99,298.8499,300.59,864116.0
2020-06-05 20:30:00,312.68,312.68,294.81,297.18,1385193.0
2020-06-08 20:30:00,295.5,298.75,293.1851,294.64,1122830.0
2020-06-09 20:30:00,299.63,309.675,294.085,308.25,875379.0
2020-06-10 20:30:00,307.66,311.32,300.79,306.12,583891.0
2020-06-11 20:30:00,306.09,306.09,289.5304,290.0,1060353.0
2020-06-12 20:30:00,294.95,298.9678,292.46,297.37,597670.0
2020-06-15 20:30:00,293.77,299.775,289.66,299.37,582667.0
2020-06-16 20:30:00,305.45,305.45,294.9,302.04,690362.0
2020-06-17 20:30:00,305.65,306.78,297.34,297.89,773520.0
2020-06-18 20:30:00,298.18,299.71,288.6,289.29,792416.0
2020-06-19 20:30:00,292.0056,307.53,288.87,302.3,2355965.0
2020-06-22 20:30:00,300.85,302.93,291.14,297.12,844908.0
2020-06-23 20:30:00,297.95,299.45,292.01,293.78,661609.0
2020-06-24 20:30:00,291.75,295.18,281.985,287.77,1086560.0
2020-06-25 20:30:00,284.59,289.52,281.15,289.29,1002762.0
2020-06-26 20:30:00,291.33,295.94,285.95,294.19,4149296.0
2020-06-29 20:30:00,298.32,298.32,287.135,289.18,632851.0
2020-06-30 20:30:00,289.68,299.7,289.56,297.92,772046.0
2020-07-01 20:30:00,297.72,303.3,291.04,301.35,623319.0
2020-07-02 20:30:00,304.13,307.7,300.09,300.58,594438.0
2020-07-06 20:30:00,304.5,309.99,301.21,302.39,728605.0
2020-07-07 20:30:00,300.23,310.86,298.91,305.49,549290.0
2020-07-08 20:30:00,307.73,308.33,301.975,303.18,489655.0
2020-07-09 20:30:00,302.26,308.16,300.13,307.78,380608.0
2020-07-10 20:30:00,308.92,309.83,301.71,304.42,521490.0
2020-07-13 20:30:00,300.99,304.22,289.03,291.73,741372.0
2020-07-14 20:30:00,297.02,298.26,291.43,297.12,712566.0
2020-07-15 20:30:00,297.91,298.25,288.97,292.91,745375.0
2020-07-16 20:30:00,292.59,293.24,289.035,291.56,393344.0
2020-07-17 20:30:00,296.19,300.23,291.04,297.64,397543.0
2020-07-20 20:30:00,296.78,304.98,296.78,300.78,472792.0
2020-07-21 20:30:00,301.76,303.48,295.58,296.85,480465.0
2020-07-22 20:30:00,297.17,299.58,295.21,298.2,319248.0
2020-07-23 20:30:00,298.68,302.33,294.19,298.68,537515.0
2020-07-24 20:30:00,298.49,301.28,295.22,298.68,520219.0
2020-07-27 20:30:00,298.93,308.21,298.07,304.49,671338.0
2020-07-28 20:30:00,305.82,312.96,305.02,312.24,774852.0
2020-07-29 20:30:00,312.2,321.19,312.2,317.57,665648.0
2020-07-30 20:30:00,310.0,315.0,309.04,311.41,707884.0
2020-07-31 20:30:00,313.72,314.34,307.95,311.54,530880.0
2020-08-03 20:30:00,310.62,312.82,304.07,305.39,441450.0
2020-08-04 20:30:00,311.56,319.92,307.135,310.31,896490.0
2020-08-05 20:30:00,315.21,315.21,303.23,306.48,412318.0
2020-08-06 20:30:00,304.35,308.06,300.68,307.33,514458.0
2020-08-07 20:30:00,307.13,313.0,306.925,311.28,324207.0
2020-08-10 20:30:00,310.58,311.11,298.78,300.83,808133.0
2020-08-11 20:30:00,305.96,305.96,294.57,295.64,663527.0
2020-08-12 20:30:00,296.74,305.4,295.93,304.39,483968.0
2020-08-13 20:30:00,302.72,308.915,302.72,304.63,316714.0
2020-08-14 20:30:00,303.01,307.46,301.13,303.17,271170.0
2020-08-17 20:30:00,303.03,308.1,302.3,307.74,357839.0
2020-08-18 20:30:00,309.01,310.72,306.51,307.47,358968.0
2020-08-19 20:30:00,308.27,308.27,296.36,298.22,587782.0
2020-08-20 20:30:00,297.47,303.815,297.17,299.81,249328.0
2020-08-21 20:30:00,308.77,308.77,299.84,305.44,423553.0
2020-08-24 20:30:00,303.67,303.87,296.5,301.52,406705.0
2020-08-25 20:30:00,300.18,305.1,298.08,304.47,359693.0
2020-08-26 20:30:00,300.62,303.79,299.16,303.46,373449.0
2020-08-27 20:30:00,306.68,307.46,303.18,305.93,419626.0
2020-08-28 20:30:00,305.96,306.23,302.05,306.19,312956.0
2020-08-31 20:30:00,305.67,307.32,304.1,306.07,483092.0
2020-09-01 20:30:00,305.62,309.91,303.22,306.62,308376.0
2020-09-02 20:30:00,309.93,315.37,304.88,314.17,548429.0
2020-09-03 20:30:00,312.82,314.96,303.01,306.77,509435.0
2020-09-04 20:30:00,305.48,308.17,296.15,300.29,480391.0
2020-09-08 20:30:00,299.79,308.25,294.345,305.79,729784.0
2020-09-09 20:30:00,307.38,319.32,307.38,313.36,908816.0
2020-09-10 20:30:00,312.58,312.58,303.26,303.38,562356.0
2020-09-11 20:30:00,304.17,307.26,302.89,304.57,344879.0
