datetime,open,high,low,close,volume
2020-05-21 20:30:00,126.62,128.035,122.99,123.52,1234097.0
2020-05-22 20:30:00,123.99,124.36,120.87,121.49,1536674.0
2020-05-26 20:30:00,127.89,129.45,125.97,128.1,1829707.0
2020-05-27 20:30:00,133.68,136.81,131.36,132.84,2673416.0
2020-05-28 20:30:00,133.78,134.02,126.2,126.49,1272253.0
2020-05-29 20:30:00,125.24,127.385,121.8,125.45,1852740.0
2020-06-01 20:30:00,125.03,126.775,123.57,125.09,1086611.0
2020-06-02 20:30:00,126.95,131.12,126.06,131.12,1301511.0
2020-06-03 20:30:00,133.83,141.75,133.83,137.95,1732789.0
2020-06-04 20:30:00,136.91,142.64,136.22,142.5,1373076.0
2020-06-05 20:30:00,150.64,154.42,145.77,146.64,2250533.0
2020-06-08 20:30:00,147.54,151.8,147.1,148.23,1997234.0
2020-06-09 20:30:00,144.71,145.985,141.02,141.23,2327906.0
2020-06-10 20:30:00,140.87,140.91,136.43,136.48,1626192.0
2020-06-11 20:30:00,129.54,133.86,127.55,128.45,1828966.0
2020-06-12 20:30:00,134.73,136.135,126.16,131.09,2604718.0
2020-06-15 20:30:00,125.33,135.855,124.74,135.38,2018465.0
2020-06-16 20:30:00,142.38,143.97,135.43,138.32,1658508.0
2020-06-17 20:30:00,138.72,139.29,134.765,135.31,1076839.0
2020-06-18 20:30:00,134.09,138.31,133.01,136.76,1518898.0
2020-06-19 20:30:00,140.0,140.365,133.92,133.92,2361624.0
2020-06-22 20:30:00,133.02,135.805,131.83,135.41,1047815.0
2020-06-23 20:30:00,137.22,137.75,135.55,135.68,947204.0
2020-06-24 20:30:00,133.81,134.36,129.88,131.09,1127958.0
2020-06-25 20:30:00,129.99,136.01,129.56,135.59,1617461.0
2020-06-26 20:30:00,134.85,136.71,133.26,136.27,1820217.0
2020-06-29 20:30:00,137.93,138.4,135.12,136.12,1158542.0
2020-06-30 20:30:00,135.44,140.24,135.26,139.38,1394749.0
2020-07-01 20:30:00,139.42,140.695,134.94,135.61,1285896.0
2020-07-02 20:30:00,138.0,141.95,136.82,138.14,975436.0
2020-07-06 20:30:00,141.45,142.19,139.47,141.09,887037.0
2020-07-07 20:30:00,139.31,140.01,137.97,138.89,817187.0
2020-07-08 20:30:00,139.43,139.81,137.11,139.28,729661.0
2020-07-09 20:30:00,138.97,139.69,135.16,137.04,860929.0
2020-07-10 20:30:00,137.68,140.08,137.11,139.92,649176.0
2020-07-13 20:30:00,141.41,145.74,140.47,142.04,1161001.0
