datetime,open,high,low,close,volume
2020-05-21 20:30:00,53.6,55.29,52.74,54.3,23101459.0
2020-05-22 20:30:00,53.84,54.84,53.05,53.41,13446850.0
2020-05-26 20:30:00,55.0,55.68,54.51,55.3,12240622.0
2020-05-27 20:30:00,56.33,56.68,54.76,55.29,10792951.0
2020-05-28 20:30:00,55.52,55.85,53.925,54.08,10448075.0
2020-05-29 20:30:00,53.35,54.1,52.455,52.76,13084508.0
2020-06-01 20:30:00,52.99,53.5899,52.36,53.33,6907802.0
2020-06-02 20:30:00,53.7,54.41,53.1,54.34,9785468.0
2020-06-03 20:30:00,54.66,55.82,54.5,55.24,7034131.0
2020-06-04 20:30:00,54.43,55.8713,54.43,54.83,14901685.0
2020-06-05 20:30:00,56.48,58.36,56.24,57.26,11740007.0
2020-06-08 20:30:00,57.88,58.5361,56.25,57.42,8700205.0
2020-06-09 20:30:00,56.5,57.02,55.89,56.24,7887947.0
2020-06-10 20:30:00,56.29,56.345,54.53,54.81,10910254.0
2020-06-11 20:30:00,52.76,53.54,52.39,52.66,10704842.0
2020-06-12 20:30:00,54.21,54.22,51.26,52.46,7368380.0
2020-06-15 20:30:00,50.33,52.67,50.11,52.6,8300987.0
2020-06-16 20:30:00,56.5,56.86,54.35,55.55,12471788.0
2020-06-17 20:30:00,55.65,55.99,54.21,54.54,6118473.0
2020-06-18 20:30:00,53.68,54.6288,53.205,53.45,9619273.0
2020-06-19 20:30:00,55.0,55.21,52.63,52.64,13537489.0
2020-06-22 20:30:00,52.31,53.26,51.82,52.82,8051356.0
2020-06-23 20:30:00,53.35,53.745,52.96,53.25,5141561.0
2020-06-24 20:30:00,52.5,52.88,50.65,51.53,7230703.0
2020-06-25 20:30:00,51.03,51.19,49.66,50.87,7174295.0
2020-06-26 20:30:00,50.73,51.48,49.395,49.54,8297968.0
2020-06-29 20:30:00,49.69,50.77,48.73,50.77,6555287.0
2020-06-30 20:30:00,50.32,50.805,49.77,50.56,6909163.0
2020-07-01 20:30:00,50.53,52.29,50.43,51.18,8206124.0
2020-07-02 20:30:00,51.96,52.58,51.37,51.75,6770754.0
2020-07-06 20:30:00,52.42,52.99,52.125,52.64,7239128.0
2020-07-07 20:30:00,51.93,52.08,50.67,50.8,6414647.0
2020-07-08 20:30:00,50.82,51.09,50.03,50.87,6327271.0
2020-07-09 20:30:00,50.7,50.93,49.18,49.99,6078698.0
2020-07-10 20:30:00,50.17,51.26,49.68,51.07,5058116.0
2020-07-13 20:30:00,51.31,51.945,50.12,50.37,6180870.0
2020-07-14 20:30:00,49.87,50.39,49.21,49.86,7368858.0
2020-07-15 20:30:00,51.71,52.775,51.445,52.63,7332446.0
2020-07-16 20:30:00,52.19,53.65,52.06,53.51,7335719.0
2020-07-17 20:30:00,53.73,53.75,52.73,52.91,4899674.0
2020-07-20 20:30:00,52.62,52.89,51.44,51.74,5158155.0
2020-07-21 20:30:00,51.8,53.49,51.7138,53.07,5112435.0
2020-07-22 20:30:00,52.57,53.55,52.24,53.44,5132289.0
2020-07-23 20:30:00,53.65,53.94,52.9,53.39,4905083.0
2020-07-24 20:30:00,53.25,53.68,52.68,52.89,3482128.0
2020-07-27 20:30:00,52.6,52.67,51.685,52.08,3439576.0
2020-07-28 20:30:00,52.0,52.48,51.74,51.78,3837309.0
2020-07-29 20:30:00,51.93,52.98,51.8,52.6,3927707.0
2020-07-30 20:30:00,51.89,52.01,51.015,51.6,4473157.0
2020-07-31 20:30:00,51.54,52.04,50.92,51.99,5125616.0
2020-08-03 20:30:00,52.02,52.17,51.04,51.89,5617297.0
2020-08-04 20:30:00,51.76,53.28,51.75,53.28,6781992.0
2020-08-05 20:30:00,53.48,53.67,52.83,53.54,7323666.0
2020-08-06 20:30:00,53.21,53.99,53.08,53.41,6582587.0
2020-08-07 20:30:00,53.58,55.756,53.3,55.45,7407298.0
2020-08-10 20:30:00,55.74,56.57,55.55,56.52,5072344.0
2020-08-11 20:30:00,57.32,58.44,56.67,57.51,7566688.0
2020-08-12 20:30:00,57.78,58.09,56.58,57.73,5133273.0
2020-08-13 20:30:00,57.37,57.61,56.665,57.11,4584278.0
2020-08-14 20:30:00,57.05,58.35,56.68,57.87,4927025.0
2020-08-17 20:30:00,59.0,59.54,57.71,59.41,8039411.0
2020-08-18 20:30:00,59.01,59.01,57.37,57.45,7840979.0
2020-08-19 20:30:00,54.01,54.81,52.24,54.36,31931958.0
2020-08-20 20:30:00,53.37,53.66,51.53,51.65,17300438.0
2020-08-21 20:30:00,51.98,53.24,51.6513,51.68,13732829.0
2020-08-24 20:30:00,51.52,53.49,51.52,53.41,11757014.0
2020-08-25 20:30:00,53.18,53.96,53.05,53.16,7907172.0
2020-08-26 20:30:00,53.02,53.795,52.82,53.26,8857537.0
2020-08-27 20:30:00,53.71,54.46,53.49,53.67,7639767.0
2020-08-28 20:30:00,53.79,55.23,53.52,55.09,6161967.0
