datetime,open,high,low,close,volume
2020-05-21 20:30:00,32.85,33.35,32.73,32.92,5890491.0
2020-05-22 20:30:00,32.9,33.01,32.21,32.93,5534359.0
2020-05-26 20:30:00,34.49,36.28,34.42,35.83,11156621.0
2020-05-27 20:30:00,37.99,38.65,36.7,37.62,9938906.0
2020-05-28 20:30:00,38.09,38.16,36.39,36.51,9031110.0
2020-05-29 20:30:00,35.86,36.49,35.42,35.56,18242477.0
2020-06-01 20:30:00,35.79,37.045,35.61,36.69,6594784.0
2020-06-02 20:30:00,37.3,37.515,36.335,36.62,6596544.0
2020-06-03 20:30:00,37.65,38.87,37.53,38.68,9656059.0
2020-06-04 20:30:00,38.68,40.09,38.05,40.07,9142455.0
2020-06-05 20:30:00,43.5,44.255,41.7403,42.37,12586806.0
2020-06-08 20:30:00,42.95,43.94,42.42,43.51,10445823.0
2020-06-09 20:30:00,41.88,42.55,41.34,42.1,7580427.0
2020-06-10 20:30:00,41.55,41.76,39.18,39.32,11590232.0
2020-06-11 20:30:00,36.65,37.69,36.06,36.14,16095907.0
2020-06-12 20:30:00,38.16,38.27,36.585,37.51,9329307.0
2020-06-15 20:30:00,35.83,39.02,35.66,38.78,11285831.0
2020-06-16 20:30:00,40.42,40.5,38.38,39.34,9411467.0
2020-06-17 20:30:00,39.4,39.62,38.45,38.51,7153447.0
2020-06-18 20:30:00,38.05,39.29,37.89,38.57,5425900.0
2020-06-19 20:30:00,39.36,39.36,37.9,38.87,42477180.0
2020-06-22 20:30:00,38.46,38.71,37.885,38.22,8321232.0
2020-06-23 20:30:00,38.9,39.45,38.34,38.6,6545885.0
2020-06-24 20:30:00,38.08,38.135,36.66,36.87,7351259.0
2020-06-25 20:30:00,36.71,38.17,36.56,38.05,6023360.0
2020-06-26 20:30:00,37.01,37.25,35.95,36.06,13960078.0
2020-06-29 20:30:00,36.23,36.83,35.87,36.35,5352141.0
2020-06-30 20:30:00,35.92,37.11,35.8,36.82,7709392.0
2020-07-01 20:30:00,36.92,37.13,35.8,35.98,6902394.0
2020-07-02 20:30:00,36.99,37.22,35.7775,35.89,5768187.0
2020-07-06 20:30:00,36.73,37.65,36.4,36.83,6069651.0
2020-07-07 20:30:00,36.33,36.36,35.465,35.58,6683791.0
2020-07-08 20:30:00,35.53,35.93,34.885,35.51,5969923.0
2020-07-09 20:30:00,35.31,35.53,34.01,34.22,6103657.0
2020-07-10 20:30:00,34.42,36.49,34.25,36.44,8974925.0
2020-07-13 20:30:00,36.75,37.27,35.85,36.83,6708025.0
2020-07-14 20:30:00,36.54,37.08,35.7401,36.29,7961472.0
2020-07-15 20:30:00,38.17,38.36,37.11,37.64,7798580.0
2020-07-16 20:30:00,37.17,38.47,37.02,37.56,6105564.0
2020-07-17 20:30:00,37.52,37.57,36.01,36.03,9155839.0
2020-07-20 20:30:00,35.84,36.125,35.49,35.57,7234117.0
2020-07-21 20:30:00,35.82,36.97,35.77,36.6,9232169.0
2020-07-22 20:30:00,36.41,36.78,36.02,36.26,6305860.0
2020-07-23 20:30:00,36.09,36.905,36.0,36.77,5988336.0
2020-07-24 20:30:00,36.91,37.4799,36.78,36.92,7385792.0
2020-07-27 20:30:00,36.6,36.62,35.59,36.16,6452291.0
2020-07-28 20:30:00,35.99,36.51,35.92,36.32,7658925.0
2020-07-29 20:30:00,36.27,37.83,36.01,37.71,6527713.0
2020-07-30 20:30:00,36.66,37.04,36.02,36.91,6202331.0
2020-07-31 20:30:00,36.65,36.87,36.0826,36.84,7707372.0
2020-08-03 20:30:00,36.79,37.09,36.37,36.8,4683668.0
2020-08-04 20:30:00,36.63,36.75,36.155,36.23,4098944.0
2020-08-05 20:30:00,36.5,36.95,36.48,36.86,4588608.0
2020-08-06 20:30:00,36.64,37.15,36.54,36.79,3227174.0
2020-08-07 20:30:00,36.36,37.47,36.1,37.46,7818928.0
2020-08-10 20:30:00,37.73,37.99,37.24,37.47,7739729.0
2020-08-11 20:30:00,38.44,39.345,38.06,38.27,7526971.0
2020-08-12 20:30:00,39.11,39.16,37.395,37.81,4865092.0
2020-08-13 20:30:00,37.45,37.8,37.07,37.37,4084767.0
2020-08-14 20:30:00,37.01,37.96,36.86,37.78,3971953.0
2020-08-17 20:30:00,37.57,37.62,36.845,36.93,5522686.0
2020-08-18 20:30:00,36.9,37.03,36.27,36.33,4335488.0
2020-08-19 20:30:00,36.34,36.9,36.04,36.16,4218660.0
2020-08-20 20:30:00,35.74,35.94,35.35,35.61,4373523.0
2020-08-21 20:30:00,35.6,35.726,35.03,35.21,5999992.0
2020-08-24 20:30:00,35.4,36.76,35.325,36.75,5276270.0
2020-08-25 20:30:00,37.12,37.405,36.4,36.61,4890760.0
2020-08-26 20:30:00,36.47,36.68,36.19,36.22,4649005.0
2020-08-27 20:30:00,36.22,37.28,36.19,36.94,5601040.0
2020-08-28 20:30:00,37.35,37.35,36.67,37.2,4666612.0
2020-08-31 20:30:00,36.97,37.06,36.24,36.4,6037318.0
2020-09-01 20:30:00,36.16,36.8967,35.95,36.69,5984403.0
2020-09-02 20:30:00,36.64,37.77,36.51,37.61,8346377.0
