datetime,open,high,low,close,volume
2020-05-21 20:30:00,24.39,24.85,24.3201,24.46,28376528.0
2020-05-22 20:30:00,24.44,24.49,23.92,24.17,30415297.0
2020-05-26 20:30:00,25.05,26.51,25.04,26.26,57720312.0
2020-05-27 20:30:00,27.8,28.26,26.835,27.95,61962965.0
2020-05-28 20:30:00,28.32,28.37,27.12,27.22,51606629.0
2020-05-29 20:30:00,26.5,27.07,26.09,26.47,51382843.0
2020-06-01 20:30:00,26.61,27.59,26.37,27.09,34258099.0
2020-06-02 20:30:00,27.58,27.99,27.16,27.4,39057981.0
2020-06-03 20:30:00,28.39,29.19,28.34,28.83,50813950.0
2020-06-04 20:30:00,29.48,30.25,28.64,30.22,61839219.0
2020-06-05 20:30:00,33.89,33.89,31.46,31.67,107651152.0
2020-06-08 20:30:00,32.9,33.43,32.265,33.32,69051349.0
2020-06-09 20:30:00,32.44,33.08,31.51,32.63,51480394.0
2020-06-10 20:30:00,32.3,32.33,29.65,29.71,82089966.0
2020-06-11 20:30:00,27.2,28.425,26.7,26.79,75621263.0
2020-06-12 20:30:00,28.0,28.23,27.35,27.97,51301222.0
2020-06-15 20:30:00,26.86,28.385,26.56,28.21,48311406.0
2020-06-16 20:30:00,29.43,29.65,27.77,28.52,52985585.0
2020-06-17 20:30:00,28.5,28.55,27.35,27.45,38660809.0
2020-06-18 20:30:00,27.1,27.925,26.93,27.55,33670192.0
2020-06-19 20:30:00,28.0,28.05,27.01,27.6,71891222.0
2020-06-22 20:30:00,27.27,27.625,26.89,27.35,32808327.0
2020-06-23 20:30:00,27.78,28.29,27.19,27.23,47279122.0
2020-06-24 20:30:00,26.96,27.03,25.99,26.12,57380897.0
2020-06-25 20:30:00,25.96,27.41,25.89,27.37,45102204.0
2020-06-26 20:30:00,26.1,26.4,25.25,25.34,81172273.0
2020-06-29 20:30:00,25.59,25.9,25.26,25.7,43769204.0
2020-06-30 20:30:00,25.21,25.869,25.17,25.6,46609953.0
2020-07-01 20:30:00,25.73,25.955,24.93,25.09,37509316.0
2020-07-02 20:30:00,25.75,26.17,25.1,25.34,37013338.0
2020-07-06 20:30:00,25.82,26.02,24.98,25.49,46983102.0
2020-07-07 20:30:00,25.2,25.22,24.34,24.46,36920549.0
